,index,Age,TotalWorkingYears,YearsAtCompany,YearsWithCurrManager,mean_time,JobSatisfaction_4.0,WorkLifeBalance_1.0,EnvironmentSatisfaction_1.0,JobSatisfaction_2.0,JobRole_Sales Executive,MaritalStatus_Divorced,MaritalStatus_Single,EducationField_Human Resources,BusinessTravel_Travel_Frequently,Department_Human Resources,BusinessTravel_Non-Travel
17,17,0.4523809523809524,0.375,0.125,0.11764705882352941,0.9960629921259845,1,0,1,0,1,1,0,0,0,0,1
18,18,0.4047619047619047,0.25,0.17500000000000002,0.11764705882352941,0.19881889763779514,0,0,0,1,0,1,0,0,0,0,0
19,19,0.4761904761904761,0.2,0.2,0.4117647058823529,0.6574803149606299,0,0,1,0,0,1,0,0,0,0,0
20,20,0.19047619047619052,0.15000000000000002,0.15000000000000002,0.23529411764705882,0.3228346456692912,0,1,0,1,0,1,0,0,1,0,0
21,21,0.7619047619047619,0.7000000000000001,0.25,0.3529411764705882,0.011811023622047001,0,0,1,1,0,1,0,0,0,0,0
22,22,0.8333333333333333,0.525,0.125,0.1764705882352941,0.48228346456692917,0,0,0,0,0,0,0,0,0,0,0
23,23,0.5714285714285714,0.25,0.5,0.3529411764705882,0.1692913385826771,0,0,0,0,0,0,0,0,0,0,0
24,24,0.2619047619047619,0.25,0.25,0.5294117647058824,0.22440944881889746,1,0,0,0,0,0,1,0,1,0,0
25,25,0.8809523809523809,0.30000000000000004,0.25,0.47058823529411764,0.671259842519685,1,0,0,0,0,0,0,0,0,0,0
26,26,0.19047619047619052,0.125,0.125,0.1764705882352941,0.9901574803149609,0,0,1,0,0,0,0,0,1,0,0
27,27,0.4523809523809524,0.42500000000000004,0.42500000000000004,0.4117647058823529,0.3267716535433072,1,0,0,0,0,0,1,0,0,0,0
28,28,0.6190476190476188,0.47500000000000003,0.025,0.0,0.9901574803149609,0,1,0,0,0,1,0,0,1,0,0
29,29,0.4761904761904761,0.25,0.05,0.11764705882352941,0.17322834645669283,1,0,0,0,0,1,0,0,0,0,0
30,30,0.19047619047619052,0.125,0.07500000000000001,0.11764705882352941,0.8188976377952755,0,0,1,1,0,1,0,0,0,0,0
31,31,0.23809523809523808,0.125,0.125,0.11764705882352941,0.14960629921259838,1,0,0,0,0,0,1,0,0,0,0
32,32,0.7380952380952379,0.55,0.07500000000000001,0.11764705882352941,0.8996062992125984,0,0,0,0,0,0,1,0,1,0,0
33,33,0.42857142857142855,0.25,0.2,0.4117647058823529,0.04527559055118102,0,0,0,1,1,0,1,0,0,0,0
34,34,0.3095238095238095,0.05,0.05,0.11764705882352941,0.1259842519685037,0,0,0,1,1,1,0,0,1,0,0
35,35,0.19047619047619052,0.2,0.2,0.23529411764705882,0.8503937007874016,1,0,0,0,0,0,1,0,0,0,0
36,36,0.4523809523809524,0.1,0.1,0.11764705882352941,0.7933070866141734,1,0,0,0,0,0,0,0,1,0,0
37,37,0.5714285714285714,0.5750000000000001,0.5,0.47058823529411764,0.0059055118110236116,0,0,0,1,0,0,0,0,1,0,0
38,38,0.0,0.0,0.0,0.0,0.16338582677165348,0,0,0,0,1,0,1,0,0,0,0
39,39,0.4047619047619047,0.30000000000000004,0.275,0.5294117647058824,0.34251968503937014,0,0,0,1,0,0,0,0,0,0,0
40,40,0.42857142857142855,0.1,0.025,0.0,0.24803149606299213,1,0,0,0,1,0,0,0,1,0,0
41,41,0.7857142857142856,0.325,0.1,0.11764705882352941,0.3228346456692912,0,0,0,1,0,1,0,0,0,0,0
42,42,0.5476190476190477,0.55,0.55,0.23529411764705882,0.19685039370078727,0,0,0,1,0,0,1,0,0,0,0
43,43,0.0,0.0,0.0,0.0,0.2086614173228345,0,0,0,0,0,0,1,0,0,0,0
44,44,0.23809523809523808,0.225,0.2,0.4117647058823529,0.24606299212598426,0,0,0,0,0,0,1,0,0,0,0
45,45,0.3095238095238095,0.25,0.2,0.4117647058823529,0.24015748031496043,1,0,0,0,0,0,0,0,0,0,0
46,46,0.49999999999999994,0.47500000000000003,0.45,0.4117647058823529,0.33267716535433056,1,0,0,0,0,1,0,0,0,0,0
47,47,0.42857142857142855,0.275,0.225,0.47058823529411764,0.3700787401574803,0,0,0,1,1,0,0,0,0,0,1
48,48,0.3333333333333333,0.325,0.325,0.47058823529411764,0.20078740157480301,0,0,0,0,0,0,0,0,0,0,0
49,49,0.4761904761904761,0.47500000000000003,0.25,0.058823529411764705,0.1889763779527558,0,0,1,1,0,0,0,0,0,0,0
50,50,0.9523809523809523,0.30000000000000004,0.125,0.11764705882352941,0.9744094488188979,0,0,0,0,0,1,0,0,0,0,1
51,51,0.3095238095238095,0.15000000000000002,0.125,0.1764705882352941,0.6240157480314958,1,0,0,0,0,0,0,0,0,0,0
52,52,0.3095238095238095,0.225,0.05,0.0,0.17322834645669283,0,0,1,0,1,0,0,0,0,0,0
53,53,0.6428571428571428,0.6000000000000001,0.6000000000000001,0.6470588235294118,0.2696850393700787,0,0,1,0,1,1,0,0,1,0,0
54,54,0.3095238095238095,0.07500000000000001,0.05,0.11764705882352941,0.5236220472440944,1,1,0,0,0,1,0,0,0,0,0
55,55,0.35714285714285715,0.30000000000000004,0.25,0.47058823529411764,0.16338582677165348,0,0,0,1,0,0,0,0,1,0,0
56,56,0.49999999999999994,0.525,0.525,0.5882352941176471,0.9921259842519687,0,0,0,0,1,0,0,0,0,0,0
57,57,0.5952380952380951,0.225,0.2,0.4117647058823529,0.34251968503937014,1,0,0,0,0,0,1,0,1,0,0
58,58,0.7380952380952379,0.625,0.17500000000000002,0.4117647058823529,0.7874015748031495,0,0,0,0,0,0,1,0,0,0,0
59,59,0.8095238095238095,0.275,0.2,0.4117647058823529,0.3858267716535433,0,0,0,1,0,0,0,0,0,0,0
60,60,0.21428571428571425,0.1,0.1,0.11764705882352941,0.9291338582677164,0,0,0,1,0,0,1,0,0,0,0
61,61,0.3333333333333333,0.325,0.325,0.5294117647058824,0.8956692913385826,0,0,0,1,0,0,0,0,0,0,0
62,62,0.21428571428571425,0.125,0.125,0.23529411764705882,0.8110236220472442,0,0,0,0,0,0,1,0,0,0,0
63,63,0.3095238095238095,0.325,0.17500000000000002,0.4117647058823529,0.12992125984251968,1,0,0,0,0,1,0,0,0,0,0
64,64,0.3333333333333333,0.25,0.17500000000000002,0.4117647058823529,0.3051181102362204,1,0,1,0,0,0,1,0,0,0,0
65,65,0.23809523809523808,0.125,0.07500000000000001,0.11764705882352941,0.9409448818897641,1,0,1,0,1,0,0,0,0,0,0
66,66,0.28571428571428564,0.275,0.25,0.5294117647058824,0.04527559055118102,1,0,0,0,0,0,0,0,0,0,0
67,67,0.3095238095238095,0.25,0.25,0.5294117647058824,0.12992125984251968,0,0,0,0,0,0,0,0,1,0,0
68,68,0.49999999999999994,0.525,0.525,0.1764705882352941,0.025590551181102317,1,0,0,0,0,0,0,0,1,0,0
69,69,0.49999999999999994,0.30000000000000004,0.025,0.0,0.7913385826771655,0,0,0,0,0,0,0,0,0,0,0
70,70,0.35714285714285715,0.225,0.17500000000000002,0.058823529411764705,0.2893700787401574,1,0,0,0,0,0,1,0,1,0,0
71,71,0.6904761904761905,0.525,0.07500000000000001,0.058823529411764705,0.10629921259842523,0,0,0,0,0,0,0,0,0,0,0
72,72,0.5952380952380951,0.225,0.225,0.0,0.06889763779527547,0,0,0,0,0,1,0,0,1,0,0
73,73,0.21428571428571425,0.15000000000000002,0.125,0.23529411764705882,0.6633858267716537,0,0,0,1,0,0,0,0,0,0,1
74,74,0.857142857142857,0.5,0.1,0.1764705882352941,0.029527559055117836,0,0,0,0,0,0,1,0,1,0,0
75,75,0.5952380952380951,0.25,0.025,0.0,0.24999999999999978,0,0,0,0,0,0,0,0,0,0,0
76,76,0.6428571428571428,0.30000000000000004,0.25,0.47058823529411764,0.22637795275590533,1,0,0,0,1,0,0,0,0,0,0
77,77,0.5238095238095237,0.15000000000000002,0.1,0.11764705882352941,0.7795275590551181,1,0,0,0,0,0,0,0,0,0,0
78,78,0.2619047619047619,0.17500000000000002,0.17500000000000002,0.4117647058823529,0.8917322834645669,0,0,0,0,0,0,0,0,0,0,0
79,79,0.2619047619047619,0.1,0.07500000000000001,0.11764705882352941,0.1889763779527558,1,0,0,0,0,0,1,0,0,1,0
80,80,0.28571428571428564,0.25,0.25,0.11764705882352941,0.3228346456692912,0,0,0,0,0,1,0,0,0,0,0
81,81,0.21428571428571425,0.2,0.2,0.4117647058823529,0.025590551181102317,0,0,0,1,0,0,0,0,0,0,0
82,82,0.4523809523809524,0.2,0.15000000000000002,0.23529411764705882,0.00984251968503913,1,0,0,0,0,1,0,0,0,0,0
83,83,0.4761904761904761,0.30000000000000004,0.275,0.5294117647058824,0.5964566929133859,1,0,0,0,0,1,0,0,0,0,0
84,84,0.3095238095238095,0.275,0.275,0.5882352941176471,0.8818897637795275,1,0,0,0,0,0,1,0,0,0,0
85,85,0.2619047619047619,0.17500000000000002,0.17500000000000002,0.4117647058823529,0.4803149606299213,0,0,0,1,1,1,0,0,0,0,0
86,86,0.4047619047619047,0.42500000000000004,0.4,0.7647058823529411,0.3858267716535433,0,0,0,1,0,0,1,0,0,0,0
87,87,0.11904761904761901,0.1,0.1,0.11764705882352941,0.22834645669291342,1,0,0,0,0,1,0,0,0,0,0
88,88,0.5476190476190477,0.2,0.125,0.11764705882352941,0.7362204724409449,0,0,0,1,0,0,1,0,0,0,0
89,89,0.6904761904761905,0.125,0.0,0.0,0.3582677165354329,0,0,0,0,0,0,1,0,1,0,0
90,90,0.5714285714285714,0.4,0.025,0.0,0.06496062992125973,1,0,1,0,0,0,1,0,0,0,0
91,91,0.2619047619047619,0.1,0.1,0.11764705882352941,0.07086614173228334,0,0,0,0,0,0,0,0,0,0,1
92,92,0.5714285714285714,0.1,0.07500000000000001,0.0,0.5669291338582678,0,0,0,0,0,1,0,0,0,0,0
93,93,0.3333333333333333,0.2,0.2,0.4117647058823529,0.3484251968503935,0,0,0,1,0,0,0,0,0,0,0
94,94,0.7142857142857142,0.375,0.0,0.0,0.2696850393700787,0,1,1,0,1,0,0,0,0,0,0
95,95,0.4523809523809524,0.325,0.17500000000000002,0.4117647058823529,0.9547244094488192,0,0,0,0,0,1,0,0,0,0,0
96,96,0.28571428571428564,0.1,0.05,0.11764705882352941,0.8759842519685039,0,0,0,0,0,0,0,0,0,0,1
97,97,0.19047619047619052,0.2,0.2,0.4117647058823529,0.007874015748031482,0,0,0,0,0,0,0,0,0,0,0
98,98,0.5714285714285714,0.35000000000000003,0.025,0.0,0.03149606299212593,1,0,1,0,0,0,1,0,0,0,0
99,99,0.07142857142857145,0.07500000000000001,0.07500000000000001,0.11764705882352941,0.42913385826771666,0,0,1,1,0,0,1,0,1,0,0
100,100,0.42857142857142855,0.17500000000000002,0.025,0.0,0.2677165354330706,1,0,0,0,0,0,1,1,0,1,1
101,101,0.42857142857142855,0.4,0.325,0.7058823529411764,0.22834645669291342,1,0,1,0,0,0,0,0,1,0,0
102,102,0.9285714285714284,0.375,0.07500000000000001,0.11764705882352941,0.07480314960629908,0,0,0,0,0,0,0,0,0,0,0
103,103,0.5238095238095237,0.25,0.17500000000000002,0.4117647058823529,0.42913385826771666,0,0,0,0,1,0,0,0,0,0,0
104,104,0.07142857142857145,0.07500000000000001,0.07500000000000001,0.11764705882352941,0.40157480314960625,1,0,1,0,0,0,1,0,0,0,1
105,105,0.35714285714285715,0.025,0.025,0.0,0.8976377952755905,0,0,0,0,0,0,1,1,0,1,0
106,106,0.4523809523809524,0.42500000000000004,0.125,0.1764705882352941,0.40157480314960625,0,0,0,0,0,0,0,0,0,0,0
107,107,0.6666666666666665,0.17500000000000002,0.025,0.0,0.029527559055117836,0,0,0,0,0,0,0,0,0,0,1
108,108,0.5476190476190477,0.2,0.2,0.4117647058823529,0.3228346456692912,0,0,1,1,0,0,1,0,1,0,0
109,109,0.7619047619047619,0.5,0.1,0.1764705882352941,0.18503937007874005,1,0,0,0,0,0,1,0,0,0,0
110,110,0.5238095238095237,0.2,0.15000000000000002,0.0,0.659448818897638,0,0,0,0,0,0,0,0,0,0,0
111,111,0.3095238095238095,0.07500000000000001,0.05,0.11764705882352941,0.9566929133858271,0,0,0,1,0,0,1,0,0,0,0
112,112,0.07142857142857145,0.025,0.025,0.0,0.007874015748031482,0,0,0,1,0,0,1,1,0,1,0
113,113,0.2619047619047619,0.15000000000000002,0.07500000000000001,0.11764705882352941,0.36220472440944884,1,0,0,0,0,0,1,0,0,0,0
114,114,0.4047619047619047,0.25,0.025,0.0,0.3484251968503935,0,0,0,1,1,0,1,0,0,0,0
115,115,0.21428571428571425,0.125,0.125,0.23529411764705882,0.04724409448818889,0,0,0,1,1,1,0,0,0,0,0
116,116,0.23809523809523808,0.17500000000000002,0.17500000000000002,0.4117647058823529,0.2303149606299213,1,0,0,0,0,0,1,0,0,0,0
117,117,0.7380952380952379,0.65,0.125,0.0,0.36811023622047245,0,0,0,0,0,0,1,0,0,0,0
118,118,0.7857142857142856,0.45,0.17500000000000002,0.4117647058823529,0.3287401574803148,1,0,0,0,1,0,0,0,0,0,0
119,119,0.42857142857142855,0.15000000000000002,0.05,0.11764705882352941,0.00984251968503913,0,0,0,0,1,0,0,0,0,0,0
120,120,0.380952380952381,0.225,0.125,0.23529411764705882,0.622047244094488,1,0,1,0,0,0,1,0,0,0,1
121,121,0.8809523809523809,0.75,0.125,0.11764705882352941,0.5374015748031495,1,0,0,0,0,0,1,0,0,0,0
122,122,0.14285714285714285,0.125,0.125,0.1764705882352941,0.7952755905511812,0,0,0,0,0,1,0,0,0,0,0
123,123,0.28571428571428564,0.025,0.025,0.0,0.18700787401574792,0,0,0,1,0,0,0,0,0,0,0
124,124,0.19047619047619052,0.17500000000000002,0.15000000000000002,0.23529411764705882,0.20669291338582663,1,0,0,0,0,0,1,0,1,0,0
125,125,0.09523809523809518,0.05,0.05,0.11764705882352941,0.0669291338582676,0,0,1,1,0,0,0,0,0,0,0
126,126,0.42857142857142855,0.25,0.25,0.0,0.08267716535433056,0,0,0,0,0,0,0,0,0,0,0
127,127,0.28571428571428564,0.07500000000000001,0.025,0.0,0.44094488188976366,1,0,0,0,0,0,1,0,1,0,0
128,128,0.4523809523809524,0.45,0.45,1.0,0.09842519685039353,0,0,0,0,1,1,0,0,0,0,0
129,129,0.5238095238095237,0.2,0.125,0.1764705882352941,0.14370078740157455,0,0,0,1,0,1,0,0,0,0,0
130,130,0.5714285714285714,0.2,0.125,0.11764705882352941,0.30118110236220463,0,0,0,0,0,1,0,0,0,0,0
131,131,0.4523809523809524,0.45,0.025,0.058823529411764705,0.7814960629921259,0,0,0,1,1,0,1,0,0,0,0
132,132,0.5952380952380951,0.625,0.625,0.5294117647058824,0.2893700787401574,0,0,1,1,1,1,0,0,0,0,0
133,133,0.5238095238095237,0.5,0.025,0.0,0.3031496062992125,0,0,0,0,0,0,0,0,0,0,0
134,134,0.857142857142857,0.6000000000000001,0.1,0.11764705882352941,0.00984251968503913,0,0,1,0,0,0,0,0,0,1,0
135,135,0.380952380952381,0.15000000000000002,0.07500000000000001,0.11764705882352941,0.17913385826771644,0,0,0,0,0,0,0,0,0,0,1
136,136,0.3095238095238095,0.325,0.325,0.7058823529411764,0.03543307086614167,0,1,0,0,1,0,0,0,0,0,0
137,137,0.5952380952380951,0.25,0.07500000000000001,0.11764705882352941,0.34055118110236204,1,0,0,0,0,0,0,0,1,0,0
138,138,0.5952380952380951,0.2,0.125,0.11764705882352941,0.5767716535433072,0,0,0,0,0,1,0,0,0,0,0
139,139,0.16666666666666669,0.125,0.125,0.1764705882352941,0.9744094488188979,1,0,0,0,0,0,1,1,0,1,0
140,140,0.4523809523809524,0.375,0.325,0.4117647058823529,0.9330708661417322,0,0,0,0,0,0,0,0,0,0,1
141,141,0.3095238095238095,0.1,0.1,0.11764705882352941,0.21850393700787385,0,0,0,0,0,0,0,0,0,0,0
142,142,0.49999999999999994,0.525,0.525,0.3529411764705882,0.6023622047244095,0,0,0,0,1,1,0,0,1,0,0
143,143,0.9047619047619047,0.9,0.17500000000000002,0.4117647058823529,0.2893700787401574,0,0,0,0,1,0,0,0,1,0,0
144,144,0.28571428571428564,0.15000000000000002,0.125,0.23529411764705882,0.3228346456692912,0,0,0,0,0,0,1,0,0,0,0
145,145,0.5476190476190477,0.25,0.25,0.4117647058823529,0.13188976377952755,0,0,0,0,0,0,0,0,0,0,0
146,146,0.23809523809523808,0.25,0.25,0.47058823529411764,0.04724409448818889,0,0,0,0,0,1,0,0,0,0,0
147,147,0.16666666666666669,0.15000000000000002,0.05,0.11764705882352941,0.10236220472440927,0,0,1,0,0,0,0,0,0,0,0
148,148,0.8095238095238095,0.7000000000000001,0.125,0.23529411764705882,0.44291338582677153,0,0,0,0,0,0,0,0,0,0,0
149,149,0.6428571428571428,0.2,0.05,0.11764705882352941,0.16535433070866135,1,0,1,0,1,0,0,0,0,0,0
150,150,0.8095238095238095,0.775,0.125,0.23529411764705882,0.26574803149606296,1,1,0,0,0,0,0,0,0,0,0
151,151,0.5714285714285714,0.47500000000000003,0.125,0.11764705882352941,0.17125984251968496,0,0,1,0,0,1,0,0,1,0,0
152,152,0.28571428571428564,0.275,0.125,0.11764705882352941,0.2696850393700787,1,0,0,0,1,0,1,0,0,0,0
153,153,0.9999999999999998,0.8250000000000001,0.7250000000000001,0.5882352941176471,0.04133858267716528,0,1,1,0,0,0,0,0,0,0,0
154,154,0.6666666666666665,0.47500000000000003,0.25,0.47058823529411764,0.3267716535433072,0,0,0,0,1,1,0,0,0,0,0
155,155,0.5714285714285714,0.17500000000000002,0.15000000000000002,0.23529411764705882,0.12795275590551158,1,0,0,0,1,0,0,0,1,0,0
156,156,0.14285714285714285,0.15000000000000002,0.125,0.23529411764705882,0.9251968503937007,0,0,1,1,0,0,1,0,0,0,0
157,157,0.380952380952381,0.07500000000000001,0.05,0.0,0.04921259842519676,0,0,0,0,0,1,0,0,1,0,0
158,158,0.4761904761904761,0.025,0.025,0.0,0.5196850393700787,1,0,0,0,1,0,0,0,1,0,0
159,159,0.5238095238095237,0.525,0.5,0.7058823529411764,0.00984251968503913,0,0,0,0,1,0,0,0,0,0,0
160,160,0.19047619047619052,0.07500000000000001,0.07500000000000001,0.11764705882352941,0.06496062992125973,1,1,1,0,0,1,0,0,0,0,0
161,161,0.28571428571428564,0.225,0.125,0.23529411764705882,0.3858267716535433,1,1,0,0,1,0,0,0,0,0,1
162,162,0.2619047619047619,0.25,0.25,0.4117647058823529,0.2421259842519683,0,0,0,0,0,0,0,0,0,0,0
163,163,0.2619047619047619,0.15000000000000002,0.05,0.058823529411764705,0.13779527559055116,0,0,0,1,0,0,0,0,0,0,0
164,164,0.02380952380952378,0.025,0.025,0.0,0.3858267716535433,1,0,1,0,1,0,1,0,0,0,0
165,165,0.28571428571428564,0.25,0.225,0.47058823529411764,0.15157480314960625,0,0,0,0,0,0,0,0,0,0,1
166,166,0.9285714285714284,0.8,0.025,0.0,0.0669291338582676,1,0,1,0,0,1,0,0,0,0,0
167,167,0.7619047619047619,0.7000000000000001,0.675,0.4117647058823529,0.2421259842519683,0,0,0,0,0,0,0,0,0,0,0
168,168,0.28571428571428564,0.30000000000000004,0.275,0.4117647058823529,0.0669291338582676,1,0,0,0,0,0,1,0,0,0,1
169,169,0.9999999999999998,0.55,0.45,0.6470588235294118,0.24999999999999978,0,0,0,0,0,0,0,0,1,0,0
170,170,0.6904761904761905,0.5,0.125,0.23529411764705882,0.36614173228346436,1,0,1,0,0,1,0,0,0,0,0
171,171,0.6666666666666665,0.65,0.07500000000000001,0.058823529411764705,0.16732283464566922,0,1,1,0,0,0,0,0,0,0,0
172,172,0.4047619047619047,0.15000000000000002,0.125,0.1764705882352941,0.10433070866141736,0,0,0,0,0,0,1,0,0,0,0
173,173,0.857142857142857,0.47500000000000003,0.025,0.0,0.33464566929133865,0,0,0,0,0,0,1,0,0,0,0
174,174,0.380952380952381,0.35000000000000003,0.17500000000000002,0.4117647058823529,0.3228346456692912,0,0,0,0,0,1,0,0,0,0,0
175,175,0.6666666666666665,0.375,0.07500000000000001,0.11764705882352941,0.6358267716535433,1,0,0,0,0,0,0,0,0,0,0
176,176,0.3095238095238095,0.325,0.325,0.47058823529411764,0.08464566929133843,0,0,0,1,0,1,0,0,0,0,0
177,177,0.35714285714285715,0.375,0.17500000000000002,0.4117647058823529,0.49803149606299213,0,0,0,0,0,0,0,0,0,0,0
178,178,0.35714285714285715,0.2,0.1,0.1764705882352941,0.19881889763779514,1,0,1,0,0,1,0,0,0,0,0
179,179,0.28571428571428564,0.1,0.07500000000000001,0.11764705882352941,0.10236220472440927,0,0,0,1,1,0,1,0,0,0,0
180,180,0.4047619047619047,0.25,0.2,0.0,0.5767716535433072,0,0,0,0,0,0,0,0,0,0,0
181,181,0.3095238095238095,0.30000000000000004,0.025,0.0,0.1259842519685037,0,0,1,0,1,0,0,0,1,0,0
182,182,0.380952380952381,0.275,0.07500000000000001,0.11764705882352941,0.9940944881889766,0,0,0,0,0,1,0,0,1,0,0
183,183,0.5714285714285714,0.2,0.05,0.0,0.36614173228346436,0,0,0,0,0,0,0,0,1,0,0
184,184,0.42857142857142855,0.25,0.25,0.4117647058823529,0.25196850393700787,1,0,0,0,0,0,1,0,0,0,1
185,185,0.09523809523809518,0.1,0.05,0.11764705882352941,0.09251968503936991,0,0,0,0,0,0,1,0,1,0,0
186,186,0.7142857142857142,0.35000000000000003,0.225,0.4117647058823529,0.16338582677165348,1,0,0,0,0,0,0,0,0,0,0
187,187,0.8809523809523809,0.925,0.25,0.4117647058823529,0.2834645669291338,0,0,1,1,1,0,1,0,0,0,0
188,188,0.5476190476190477,0.4,0.35000000000000003,0.5882352941176471,0.04724409448818889,1,0,0,0,0,0,1,0,0,0,1
189,189,0.4047619047619047,0.375,0.275,0.5294117647058824,0.011811023622047001,0,0,0,0,0,0,0,0,0,0,0
190,190,0.5238095238095237,0.55,0.5,0.7647058823529411,0.26574803149606296,0,0,0,0,0,0,1,0,0,0,0
191,191,0.49999999999999994,0.2,0.2,0.4117647058823529,0.21850393700787385,0,0,0,0,0,0,0,0,1,0,0
192,192,0.3095238095238095,0.25,0.15000000000000002,0.29411764705882354,0.5472440944881891,1,0,0,0,0,0,1,0,0,0,0
193,193,0.5714285714285714,0.25,0.25,0.47058823529411764,0.9566929133858271,0,0,0,0,1,0,0,0,0,0,0
194,194,0.6428571428571428,0.225,0.2,0.4117647058823529,0.28740157480314954,0,0,0,1,1,0,0,0,0,0,0
195,195,0.19047619047619052,0.2,0.17500000000000002,0.0,0.6377952755905512,0,0,0,0,0,1,0,0,1,0,0
196,196,0.2619047619047619,0.2,0.07500000000000001,0.11764705882352941,0.2834645669291338,1,0,0,0,0,1,0,0,0,0,0
197,197,0.35714285714285715,0.25,0.15000000000000002,0.29411764705882354,0.28543307086614167,0,0,1,0,0,1,0,0,0,0,0
198,198,0.3095238095238095,0.25,0.125,0.058823529411764705,0.14960629921259838,1,0,0,0,1,1,0,0,0,0,0
199,199,0.0,0.0,0.0,0.0,0.6456692913385829,0,0,0,1,1,0,1,0,1,0,0
200,200,0.5238095238095237,0.5,0.025,0.058823529411764705,0.18307086614173218,0,0,0,0,0,1,0,0,0,0,1
201,201,0.5476190476190477,0.25,0.2,0.4117647058823529,0.6574803149606299,0,0,1,0,0,0,1,0,0,0,1
202,202,0.19047619047619052,0.2,0.0,0.0,0.013779527559054872,0,0,1,0,0,1,0,0,0,0,0
203,203,0.4047619047619047,0.125,0.125,0.1764705882352941,0.07480314960629908,0,0,1,0,0,0,1,0,0,0,0
204,204,0.380952380952381,0.25,0.25,0.4117647058823529,0.09055118110236204,1,0,0,0,0,0,1,0,0,0,0
205,205,0.19047619047619052,0.025,0.025,0.0,0.5511811023622046,1,1,0,0,0,0,1,0,0,0,0
206,206,0.4523809523809524,0.30000000000000004,0.15000000000000002,0.11764705882352941,0.2834645669291338,1,0,0,0,1,0,1,0,0,0,0
207,207,0.6666666666666665,0.7000000000000001,0.05,0.11764705882352941,0.04921259842519676,0,0,1,0,0,0,0,0,1,0,0
208,208,0.5476190476190477,0.55,0.45,0.47058823529411764,0.34645669291338566,0,0,0,0,0,0,0,0,0,0,0
209,209,0.4523809523809524,0.225,0.225,0.4117647058823529,0.30708661417322825,0,0,1,1,1,1,0,0,0,0,1
210,210,0.8095238095238095,0.45,0.25,0.5294117647058824,0.6161417322834646,0,0,0,0,0,1,0,0,0,0,0
211,211,0.3333333333333333,0.15000000000000002,0.1,0.11764705882352941,0.007874015748031482,0,0,0,0,0,0,0,0,0,0,1
212,212,0.14285714285714285,0.07500000000000001,0.05,0.058823529411764705,0.015748031496062964,1,0,0,0,0,0,0,0,1,0,0
213,213,0.4761904761904761,0.45,0.025,0.0,0.013779527559054872,0,0,0,0,0,0,0,0,0,0,0
214,214,0.4523809523809524,0.2,0.15000000000000002,0.1764705882352941,0.18700787401574792,0,0,0,1,0,0,0,0,0,0,0
215,215,0.7380952380952379,0.775,0.775,0.5294117647058824,0.950787401574803,0,0,0,0,1,1,0,0,0,0,0
216,216,0.14285714285714285,0.15000000000000002,0.15000000000000002,0.23529411764705882,0.5964566929133859,1,0,0,0,1,0,0,0,0,0,0
