,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,mean_time
19,38.0,8.0,68700.0,1.0,11.0,8.0,5.0,8.0,7.0,7.0,9.29
20,26.0,1.0,104470.0,1.0,18.0,6.0,3.0,6.0,1.0,4.0,7.59
21,50.0,8.0,96670.0,3.0,23.0,28.0,2.0,10.0,1.0,6.0,6.01
22,53.0,11.0,21480.0,3.0,11.0,21.0,2.0,5.0,1.0,3.0,8.4
23,42.0,4.0,89260.0,1.0,14.0,10.0,4.0,20.0,11.0,6.0,6.81
24,29.0,16.0,65130.0,1.0,11.0,10.0,2.0,10.0,0.0,9.0,7.09
25,55.0,1.0,67990.0,3.0,11.0,12.0,2.0,10.0,0.0,8.0,9.36
26,26.0,9.0,162910.0,1.0,22.0,5.0,3.0,5.0,3.0,3.0,10.98
27,37.0,5.0,27050.0,1.0,11.0,17.0,2.0,17.0,5.0,7.0,7.61
28,44.0,1.0,103330.0,3.0,14.0,19.0,2.0,1.0,0.0,0.0,10.98
29,38.0,2.0,44480.0,9.0,12.0,10.0,3.0,2.0,1.0,2.0,6.83
30,26.0,4.0,68540.0,2.0,11.0,5.0,5.0,3.0,0.0,2.0,10.11
31,28.0,7.0,96370.0,1.0,13.0,5.0,6.0,5.0,0.0,2.0,6.71
32,49.0,1.0,35910.0,9.0,13.0,22.0,2.0,3.0,1.0,2.0,10.52
33,36.0,5.0,54050.0,4.0,14.0,10.0,2.0,8.0,7.0,7.0,6.18
34,31.0,9.0,46840.0,1.0,16.0,2.0,4.0,2.0,2.0,2.0,6.59
35,26.0,8.0,157870.0,1.0,12.0,8.0,5.0,8.0,7.0,4.0,10.27
36,37.0,9.0,15140.0,1.0,14.0,4.0,3.0,4.0,1.0,2.0,9.98
37,42.0,2.0,29560.0,5.0,13.0,23.0,2.0,20.0,4.0,8.0,5.98
38,18.0,1.0,23350.0,1.0,14.0,0.0,3.0,0.0,0.0,0.0,6.78
39,35.0,20.0,51540.0,0.0,19.0,12.0,2.0,11.0,6.0,9.0,7.69
40,36.0,8.0,69620.0,4.0,12.0,4.0,2.0,1.0,0.0,0.0,7.21
41,51.0,2.0,56750.0,5.0,13.0,13.0,2.0,4.0,1.0,2.0,7.59
42,41.0,29.0,23790.0,1.0,12.0,22.0,6.0,22.0,0.0,4.0,6.95
43,18.0,7.0,38120.0,1.0,15.0,0.0,3.0,0.0,0.0,0.0,7.01
44,28.0,9.0,46480.0,0.0,23.0,9.0,2.0,8.0,0.0,7.0,7.2
45,31.0,8.0,29360.0,4.0,12.0,10.0,2.0,8.0,7.0,7.0,7.17
46,39.0,5.0,21050.0,0.0,20.0,19.0,3.0,18.0,3.0,7.0,7.64
47,36.0,5.0,85780.0,7.0,21.0,11.0,4.0,9.0,0.0,8.0,7.83
48,32.0,2.0,27060.0,1.0,21.0,13.0,4.0,13.0,4.0,8.0,6.97
49,38.0,5.0,63840.0,3.0,19.0,19.0,4.0,10.0,0.0,1.0,6.91
50,58.0,2.0,39680.0,2.0,13.0,12.0,3.0,5.0,1.0,2.0,10.9
51,31.0,20.0,99070.0,0.0,13.0,6.0,3.0,5.0,0.0,3.0,9.12
52,31.0,7.0,132250.0,3.0,21.0,9.0,2.0,2.0,1.0,0.0,6.83
53,45.0,3.0,35400.0,1.0,13.0,24.0,6.0,24.0,9.0,11.0,7.32
54,31.0,16.0,28040.0,0.0,19.0,3.0,0.0,2.0,2.0,2.0,8.61
55,33.0,9.0,193920.0,6.0,12.0,12.0,3.0,10.0,8.0,8.0,6.78
56,39.0,1.0,196650.0,1.0,22.0,21.0,6.0,21.0,11.0,10.0,10.99
57,43.0,7.0,24390.0,0.0,15.0,9.0,2.0,8.0,1.0,7.0,7.69
58,49.0,1.0,73140.0,7.0,22.0,25.0,2.0,7.0,0.0,7.0,9.95
59,52.0,7.0,47740.0,2.0,18.0,11.0,2.0,8.0,7.0,7.0,7.91
60,27.0,15.0,39020.0,1.0,22.0,4.0,2.0,4.0,1.0,2.0,10.67
61,32.0,1.0,26620.0,1.0,11.0,13.0,6.0,13.0,11.0,9.0,10.5
62,27.0,13.0,28560.0,1.0,12.0,5.0,5.0,5.0,0.0,4.0,10.07
63,31.0,24.0,10810.0,4.0,11.0,13.0,4.0,7.0,1.0,7.0,6.61
64,32.0,7.0,24720.0,7.0,13.0,10.0,2.0,7.0,0.0,7.0,7.5
65,28.0,9.0,56730.0,5.0,14.0,5.0,4.0,3.0,2.0,2.0,10.73
66,30.0,13.0,41970.0,1.0,13.0,11.0,3.0,10.0,1.0,9.0,6.18
67,31.0,2.0,97130.0,1.0,17.0,10.0,5.0,10.0,8.0,9.0,6.61
68,39.0,19.0,20620.0,1.0,13.0,21.0,4.0,21.0,13.0,3.0,6.08
69,39.0,1.0,42840.0,4.0,17.0,12.0,0.0,1.0,0.0,0.0,9.97
70,33.0,4.0,47880.0,3.0,11.0,9.0,0.0,7.0,0.0,1.0,7.42
71,47.0,4.0,59060.0,4.0,23.0,21.0,4.0,3.0,1.0,1.0,6.49
72,43.0,14.0,38860.0,1.0,17.0,9.0,2.0,9.0,0.0,0.0,6.3
73,27.0,2.0,168230.0,0.0,17.0,6.0,3.0,5.0,1.0,4.0,9.32
74,54.0,1.0,29330.0,3.0,12.0,20.0,2.0,4.0,0.0,3.0,6.1
75,43.0,7.0,65000.0,8.0,23.0,10.0,3.0,1.0,0.0,0.0,7.22
76,45.0,3.0,171740.0,9.0,14.0,12.0,6.0,10.0,9.0,8.0,7.1
77,40.0,2.0,50330.0,2.0,14.0,6.0,6.0,4.0,0.0,2.0,9.91
78,29.0,29.0,23070.0,1.0,13.0,7.0,0.0,7.0,0.0,7.0,10.48
79,29.0,8.0,25870.0,0.0,22.0,4.0,3.0,3.0,2.0,2.0,6.91
80,30.0,10.0,55070.0,1.0,12.0,10.0,2.0,10.0,1.0,2.0,7.59
81,27.0,11.0,43930.0,1.0,18.0,8.0,2.0,8.0,0.0,7.0,6.08
82,37.0,1.0,133480.0,7.0,14.0,8.0,4.0,6.0,0.0,4.0,6.0
83,38.0,28.0,65830.0,0.0,12.0,12.0,1.0,11.0,2.0,9.0,8.98
84,31.0,6.0,81030.0,1.0,15.0,11.0,5.0,11.0,4.0,10.0,10.43
85,29.0,3.0,39780.0,1.0,11.0,7.0,0.0,7.0,1.0,7.0,8.39
86,35.0,16.0,25440.0,0.0,13.0,17.0,3.0,16.0,0.0,13.0,7.91
87,23.0,20.0,53990.0,1.0,23.0,4.0,2.0,4.0,0.0,2.0,7.11
88,41.0,9.0,54870.0,6.0,19.0,8.0,0.0,5.0,1.0,2.0,9.69
89,47.0,1.0,68340.0,3.0,16.0,5.0,2.0,0.0,0.0,0.0,7.77
90,42.0,3.0,10910.0,2.0,22.0,16.0,0.0,1.0,0.0,0.0,6.28
91,29.0,22.0,57360.0,1.0,22.0,4.0,1.0,4.0,0.0,2.0,6.31
92,42.0,7.0,22260.0,0.0,12.0,4.0,3.0,3.0,1.0,0.0,8.83
93,32.0,2.0,57470.0,1.0,13.0,8.0,0.0,8.0,0.0,7.0,7.72
94,48.0,13.0,98540.0,3.0,16.0,15.0,2.0,0.0,0.0,0.0,7.32
95,37.0,8.0,54670.0,4.0,12.0,13.0,2.0,7.0,6.0,7.0,10.8
96,30.0,25.0,53800.0,7.0,21.0,4.0,0.0,2.0,2.0,2.0,10.4
97,26.0,28.0,51510.0,1.0,15.0,8.0,3.0,8.0,7.0,7.0,5.99
98,42.0,2.0,21330.0,3.0,13.0,14.0,2.0,1.0,0.0,0.0,6.11
99,21.0,9.0,178750.0,1.0,12.0,3.0,5.0,3.0,1.0,2.0,8.13
100,36.0,28.0,24320.0,4.0,22.0,7.0,4.0,1.0,0.0,0.0,7.31
101,36.0,6.0,47710.0,4.0,13.0,16.0,2.0,13.0,1.0,12.0,7.11
102,57.0,21.0,191610.0,2.0,18.0,15.0,2.0,3.0,1.0,2.0,6.33
103,40.0,8.0,50870.0,3.0,14.0,10.0,3.0,7.0,1.0,7.0,8.13
104,21.0,1.0,28630.0,1.0,14.0,3.0,2.0,3.0,2.0,2.0,7.99
105,33.0,28.0,55610.0,1.0,21.0,1.0,3.0,1.0,0.0,0.0,10.51
106,37.0,5.0,21440.0,6.0,19.0,17.0,3.0,5.0,0.0,3.0,7.99
107,46.0,2.0,30650.0,2.0,11.0,7.0,3.0,1.0,0.0,0.0,6.1
108,41.0,16.0,28100.0,1.0,11.0,8.0,3.0,8.0,7.0,7.0,7.59
109,50.0,9.0,98880.0,6.0,15.0,20.0,2.0,4.0,1.0,3.0,6.89
110,40.0,8.0,86280.0,2.0,20.0,8.0,2.0,6.0,1.0,0.0,9.3
111,31.0,1.0,28670.0,0.0,24.0,3.0,5.0,2.0,2.0,2.0,10.81
112,21.0,10.0,53730.0,1.0,12.0,1.0,2.0,1.0,0.0,0.0,5.99
113,29.0,1.0,66670.0,9.0,12.0,6.0,6.0,3.0,1.0,2.0,7.79
114,35.0,29.0,50030.0,9.0,15.0,10.0,2.0,1.0,0.0,0.0,7.72
115,27.0,2.0,23670.0,2.0,12.0,5.0,2.0,5.0,0.0,4.0,6.19
116,28.0,2.0,28580.0,1.0,12.0,7.0,2.0,7.0,0.0,7.0,7.12
117,49.0,2.0,52040.0,8.0,14.0,26.0,3.0,5.0,0.0,0.0,7.82
118,51.0,1.0,41050.0,4.0,22.0,18.0,2.0,7.0,0.0,7.0,7.62
119,36.0,15.0,96790.0,4.0,12.0,6.0,1.0,2.0,2.0,2.0,6.0
120,34.0,7.0,56170.0,8.0,25.0,9.0,3.0,5.0,0.0,4.0,9.11
121,55.0,26.0,104480.0,2.0,13.0,30.0,3.0,5.0,1.0,2.0,8.68
122,24.0,1.0,28970.0,1.0,18.0,5.0,4.0,5.0,0.0,3.0,9.99
123,30.0,3.0,59680.0,1.0,13.0,1.0,3.0,1.0,0.0,0.0,6.9
124,26.0,14.0,75100.0,0.0,18.0,7.0,3.0,6.0,0.0,4.0,7.0
125,22.0,16.0,29910.0,1.0,19.0,2.0,3.0,2.0,1.0,2.0,6.29
126,36.0,1.0,196360.0,1.0,12.0,10.0,3.0,10.0,9.0,0.0,6.37
127,30.0,3.0,11290.0,9.0,19.0,3.0,2.0,1.0,0.0,0.0,8.19
128,37.0,10.0,133410.0,1.0,14.0,18.0,3.0,18.0,12.0,17.0,6.45
129,40.0,6.0,43320.0,7.0,14.0,8.0,3.0,5.0,1.0,3.0,6.68
130,42.0,2.0,110310.0,3.0,12.0,8.0,2.0,5.0,1.0,2.0,7.48
131,37.0,9.0,44400.0,2.0,11.0,18.0,3.0,1.0,0.0,1.0,9.92
132,43.0,10.0,46170.0,1.0,11.0,25.0,2.0,25.0,3.0,9.0,7.42
133,40.0,6.0,26470.0,6.0,13.0,20.0,2.0,1.0,0.0,0.0,7.49
134,54.0,9.0,63230.0,4.0,23.0,24.0,2.0,4.0,1.0,2.0,6.0
135,34.0,28.0,56770.0,9.0,20.0,6.0,3.0,3.0,1.0,2.0,6.86
136,31.0,10.0,21870.0,1.0,15.0,13.0,2.0,13.0,3.0,12.0,6.13
137,43.0,14.0,37480.0,7.0,14.0,10.0,3.0,3.0,1.0,2.0,7.68
138,43.0,27.0,39770.0,4.0,18.0,8.0,3.0,5.0,0.0,2.0,8.88
139,25.0,7.0,86330.0,1.0,19.0,5.0,2.0,5.0,1.0,3.0,10.9
140,37.0,1.0,20080.0,3.0,22.0,15.0,5.0,13.0,10.0,7.0,10.69
141,31.0,24.0,44400.0,1.0,13.0,4.0,2.0,4.0,3.0,2.0,7.06
142,39.0,26.0,30670.0,1.0,20.0,21.0,5.0,21.0,1.0,6.0,9.01
143,56.0,20.0,53210.0,9.0,14.0,36.0,1.0,7.0,7.0,7.0,7.42
144,30.0,5.0,54100.0,0.0,17.0,6.0,2.0,5.0,4.0,4.0,7.59
145,41.0,7.0,27820.0,1.0,14.0,10.0,2.0,10.0,0.0,7.0,6.62
146,28.0,7.0,119570.0,1.0,13.0,10.0,2.0,10.0,1.0,8.0,6.19
147,25.0,5.0,26600.0,5.0,13.0,6.0,3.0,2.0,0.0,2.0,6.47
148,52.0,26.0,33750.0,2.0,21.0,28.0,2.0,5.0,0.0,4.0,8.2
149,45.0,2.0,50980.0,3.0,14.0,8.0,4.0,2.0,0.0,2.0,6.79
150,52.0,12.0,48780.0,2.0,11.0,31.0,3.0,5.0,1.0,4.0,7.3
151,42.0,10.0,28370.0,2.0,13.0,19.0,0.0,5.0,0.0,2.0,6.82
152,30.0,25.0,24060.0,2.0,20.0,11.0,5.0,5.0,0.0,2.0,7.32
153,60.0,10.0,22690.0,5.0,18.0,33.0,4.0,29.0,11.0,10.0,6.16
154,46.0,19.0,41080.0,2.0,14.0,19.0,5.0,10.0,0.0,8.0,7.61
155,42.0,18.0,132060.0,0.0,13.0,7.0,2.0,6.0,0.0,4.0,6.6
156,24.0,27.0,104220.0,1.0,17.0,6.0,0.0,5.0,1.0,4.0,10.65
157,34.0,5.0,137440.0,0.0,20.0,3.0,3.0,2.0,1.0,0.0,6.2
158,38.0,3.0,49070.0,1.0,11.0,1.0,3.0,1.0,0.0,0.0,8.59
159,40.0,26.0,34820.0,0.0,18.0,21.0,2.0,20.0,1.0,12.0,6.0
160,26.0,3.0,24360.0,1.0,24.0,3.0,2.0,3.0,0.0,2.0,6.28
161,30.0,15.0,23800.0,4.0,18.0,9.0,2.0,5.0,1.0,4.0,7.91
162,29.0,8.0,194310.0,1.0,11.0,10.0,3.0,10.0,0.0,7.0,7.18
163,29.0,19.0,17900.0,5.0,16.0,6.0,4.0,2.0,1.0,1.0,6.65
164,19.0,4.0,76440.0,1.0,15.0,1.0,2.0,1.0,0.0,0.0,7.91
165,30.0,2.0,51310.0,0.0,15.0,10.0,2.0,9.0,7.0,8.0,6.72
166,57.0,2.0,63060.0,3.0,12.0,32.0,3.0,1.0,0.0,0.0,6.29
167,50.0,10.0,47870.0,0.0,12.0,28.0,3.0,27.0,15.0,7.0,7.18
168,30.0,10.0,188800.0,0.0,22.0,12.0,3.0,11.0,6.0,7.0,6.29
169,60.0,16.0,23390.0,4.0,20.0,22.0,4.0,18.0,13.0,11.0,7.22
170,47.0,1.0,135700.0,5.0,16.0,20.0,2.0,5.0,0.0,4.0,7.81
171,46.0,4.0,67120.0,6.0,21.0,26.0,3.0,3.0,0.0,1.0,6.8
172,35.0,15.0,54060.0,0.0,12.0,6.0,2.0,5.0,4.0,3.0,6.48
173,54.0,2.0,89380.0,7.0,11.0,19.0,2.0,1.0,0.0,0.0,7.65
174,34.0,8.0,24390.0,3.0,11.0,14.0,2.0,7.0,5.0,7.0,7.59
175,46.0,2.0,88370.0,2.0,18.0,15.0,3.0,3.0,1.0,2.0,9.18
176,31.0,7.0,53430.0,1.0,14.0,13.0,3.0,13.0,0.0,8.0,6.38
177,33.0,10.0,67280.0,7.0,22.0,15.0,2.0,7.0,7.0,7.0,8.48
178,33.0,5.0,66520.0,7.0,25.0,8.0,5.0,4.0,1.0,3.0,6.96
179,30.0,2.0,48500.0,0.0,12.0,4.0,4.0,3.0,1.0,2.0,6.47
180,35.0,12.0,28090.0,4.0,23.0,10.0,2.0,8.0,0.0,0.0,8.88
181,31.0,22.0,56890.0,3.0,15.0,12.0,2.0,1.0,0.0,0.0,6.59
182,34.0,17.0,20010.0,9.0,22.0,11.0,5.0,3.0,0.0,2.0,11.0
183,42.0,2.0,29770.0,4.0,15.0,8.0,3.0,2.0,2.0,0.0,7.81
184,36.0,3.0,40250.0,1.0,11.0,10.0,3.0,10.0,9.0,7.0,7.23
185,22.0,7.0,37850.0,5.0,13.0,4.0,2.0,2.0,1.0,2.0,6.42
186,48.0,6.0,108540.0,2.0,14.0,14.0,6.0,9.0,6.0,7.0,6.78
187,55.0,1.0,120310.0,3.0,11.0,37.0,5.0,10.0,7.0,7.0,7.39
188,41.0,3.0,99360.0,7.0,17.0,16.0,2.0,14.0,1.0,10.0,6.19
189,35.0,22.0,29660.0,9.0,18.0,15.0,2.0,11.0,6.0,9.0,6.01
190,40.0,15.0,25710.0,7.0,14.0,22.0,1.0,20.0,5.0,13.0,7.3
191,39.0,12.0,99910.0,1.0,16.0,8.0,3.0,8.0,0.0,7.0,7.06
192,31.0,1.0,61420.0,4.0,13.0,10.0,2.0,6.0,0.0,5.0,8.73
193,42.0,5.0,53900.0,1.0,14.0,10.0,3.0,10.0,5.0,8.0,10.81
194,45.0,2.0,44040.0,0.0,23.0,9.0,2.0,8.0,3.0,7.0,7.41
195,26.0,2.0,59930.0,0.0,12.0,8.0,3.0,7.0,1.0,0.0,9.19
196,29.0,5.0,51300.0,4.0,11.0,8.0,3.0,3.0,1.0,2.0,7.39
197,33.0,16.0,20900.0,4.0,16.0,10.0,2.0,6.0,0.0,5.0,7.4
198,31.0,2.0,29090.0,9.0,14.0,10.0,2.0,5.0,0.0,1.0,6.71
199,18.0,2.0,34680.0,1.0,18.0,0.0,4.0,0.0,0.0,0.0,9.23
200,40.0,1.0,30680.0,3.0,19.0,20.0,3.0,1.0,0.0,1.0,6.88
201,41.0,23.0,26700.0,2.0,15.0,10.0,2.0,8.0,0.0,7.0,9.29
202,26.0,9.0,26930.0,5.0,17.0,8.0,3.0,0.0,0.0,0.0,6.02
203,35.0,16.0,95260.0,1.0,15.0,5.0,2.0,5.0,0.0,3.0,6.33
204,34.0,26.0,52370.0,1.0,19.0,10.0,3.0,10.0,5.0,7.0,6.41
205,26.0,1.0,24260.0,1.0,22.0,1.0,3.0,1.0,0.0,0.0,8.75
206,37.0,8.0,41930.0,4.0,16.0,12.0,5.0,6.0,1.0,2.0,7.39
207,46.0,4.0,29110.0,5.0,13.0,28.0,3.0,2.0,1.0,2.0,6.2
208,41.0,24.0,26610.0,7.0,14.0,22.0,2.0,18.0,11.0,8.0,7.71
209,37.0,7.0,20280.0,1.0,16.0,9.0,3.0,9.0,7.0,7.0,7.51
210,52.0,2.0,99800.0,2.0,11.0,18.0,2.0,10.0,6.0,9.0,9.08
211,32.0,7.0,32980.0,8.0,22.0,6.0,4.0,4.0,1.0,2.0,5.99
212,24.0,22.0,29350.0,0.0,14.0,3.0,5.0,2.0,2.0,1.0,6.03
213,38.0,5.0,154270.0,3.0,16.0,18.0,2.0,1.0,0.0,0.0,6.02
214,37.0,1.0,39440.0,6.0,11.0,8.0,3.0,6.0,4.0,3.0,6.9
215,49.0,21.0,40110.0,1.0,18.0,31.0,2.0,31.0,0.0,9.0,10.78
216,24.0,1.0,34070.0,1.0,15.0,6.0,2.0,6.0,1.0,4.0,8.98
217,26.0,19.0,119940.0,1.0,14.0,6.0,6.0,5.0,1.0,4.0,7.38
218,24.0,7.0,12320.0,1.0,12.0,1.0,4.0,1.0,0.0,0.0,6.82
219,50.0,2.0,29600.0,1.0,14.0,32.0,2.0,32.0,10.0,7.0,6.79
220,25.0,2.0,190940.0,1.0,16.0,7.0,3.0,7.0,0.0,6.0,7.41
221,24.0,2.0,39190.0,1.0,21.0,6.0,3.0,6.0,1.0,2.0,10.82
222,30.0,9.0,68250.0,1.0,14.0,1.0,2.0,1.0,0.0,0.0,6.88
223,34.0,6.0,102480.0,1.0,12.0,6.0,4.0,6.0,1.0,3.0,8.91
224,31.0,9.0,189470.0,2.0,12.0,9.0,2.0,3.0,1.0,2.0,6.68
225,35.0,2.0,24960.0,4.0,17.0,9.0,3.0,3.0,0.0,2.0,7.92
226,31.0,1.0,64650.0,4.0,17.0,13.0,3.0,7.0,5.0,7.0,6.31
227,27.0,22.0,22060.0,0.0,14.0,6.0,4.0,5.0,0.0,3.0,7.89
228,37.0,9.0,20860.0,4.0,14.0,17.0,3.0,3.0,1.0,0.0,8.88
229,20.0,17.0,22930.0,1.0,13.0,1.0,3.0,1.0,0.0,0.0,7.09
230,42.0,28.0,26450.0,1.0,15.0,10.0,5.0,10.0,2.0,2.0,7.49
231,43.0,10.0,26830.0,4.0,11.0,21.0,3.0,1.0,0.0,0.0,8.69
232,38.0,2.0,20140.0,3.0,17.0,8.0,5.0,0.0,0.0,0.0,6.8
233,43.0,4.0,34190.0,3.0,11.0,10.0,5.0,8.0,4.0,7.0,9.13
234,48.0,8.0,53760.0,7.0,13.0,21.0,3.0,3.0,0.0,2.0,7.02
235,44.0,29.0,19510.0,4.0,22.0,10.0,4.0,2.0,0.0,2.0,6.7
236,34.0,13.0,23410.0,1.0,20.0,8.0,3.0,8.0,0.0,6.0,8.4
237,27.0,27.0,22930.0,0.0,18.0,5.0,0.0,4.0,0.0,2.0,6.48
238,21.0,16.0,87260.0,1.0,11.0,3.0,2.0,3.0,1.0,2.0,7.23
239,44.0,2.0,40110.0,4.0,14.0,26.0,2.0,2.0,0.0,1.0,8.69
240,22.0,2.0,195450.0,0.0,14.0,3.0,3.0,2.0,2.0,2.0,6.04
241,33.0,13.0,45680.0,0.0,18.0,6.0,2.0,5.0,1.0,2.0,7.28
242,32.0,1.0,30220.0,1.0,16.0,6.0,3.0,6.0,0.0,5.0,9.38
243,30.0,4.0,57720.0,1.0,17.0,1.0,3.0,1.0,0.0,0.0,7.31
244,53.0,24.0,22690.0,7.0,11.0,18.0,2.0,14.0,8.0,10.0,7.11
245,34.0,1.0,53810.0,1.0,12.0,10.0,0.0,10.0,8.0,8.0,7.44
246,45.0,19.0,34410.0,2.0,13.0,5.0,5.0,1.0,0.0,0.0,7.57
247,26.0,7.0,54540.0,1.0,13.0,3.0,5.0,3.0,0.0,2.0,9.96
248,37.0,4.0,98840.0,1.0,14.0,10.0,3.0,10.0,7.0,8.0,6.21
249,29.0,2.0,41570.0,1.0,17.0,6.0,2.0,6.0,1.0,2.0,6.81
250,35.0,10.0,134580.0,1.0,11.0,17.0,3.0,17.0,11.0,8.0,6.66
251,33.0,8.0,90690.0,3.0,25.0,15.0,3.0,13.0,4.0,7.0,7.52
252,54.0,5.0,40140.0,2.0,19.0,16.0,4.0,9.0,7.0,1.0,6.41
253,36.0,8.0,59150.0,2.0,13.0,13.0,3.0,3.0,0.0,2.0,10.7
254,27.0,9.0,59930.0,0.0,14.0,5.0,3.0,4.0,1.0,1.0,7.0
255,20.0,1.0,61620.0,1.0,12.0,1.0,2.0,1.0,1.0,1.0,8.63
256,33.0,15.0,24060.0,1.0,11.0,10.0,3.0,10.0,9.0,7.0,10.4
257,35.0,2.0,187400.0,1.0,19.0,1.0,2.0,1.0,0.0,0.0,6.73
258,23.0,2.0,76370.0,2.0,11.0,5.0,3.0,3.0,0.0,2.0,7.09
259,25.0,11.0,100960.0,0.0,11.0,4.0,3.0,3.0,1.0,2.0,7.68
260,38.0,16.0,147560.0,0.0,20.0,8.0,3.0,7.0,0.0,5.0,6.8
261,29.0,2.0,64990.0,1.0,18.0,10.0,3.0,10.0,2.0,8.0,7.81
262,48.0,16.0,97240.0,3.0,13.0,12.0,2.0,2.0,2.0,2.0,7.1
263,27.0,4.0,21940.0,1.0,12.0,6.0,5.0,6.0,0.0,4.0,8.89
264,37.0,16.0,33880.0,3.0,11.0,4.0,2.0,1.0,0.0,0.0,7.6
265,50.0,5.0,54730.0,1.0,19.0,20.0,2.0,20.0,3.0,8.0,9.12
266,34.0,18.0,27030.0,1.0,21.0,9.0,2.0,8.0,7.0,7.0,6.82
267,24.0,17.0,25010.0,9.0,12.0,4.0,3.0,2.0,2.0,0.0,7.51
268,39.0,12.0,62200.0,1.0,14.0,20.0,2.0,20.0,11.0,10.0,6.71
269,32.0,2.0,30380.0,1.0,11.0,10.0,5.0,10.0,0.0,8.0,7.9
270,50.0,4.0,44240.0,3.0,14.0,18.0,2.0,4.0,1.0,3.0,8.21
271,38.0,9.0,43120.0,0.0,12.0,10.0,2.0,9.0,1.0,8.0,7.17
272,27.0,10.0,132450.0,1.0,23.0,9.0,3.0,9.0,0.0,7.0,6.51
273,32.0,1.0,136640.0,3.0,14.0,10.0,6.0,7.0,7.0,7.0,7.93
274,47.0,2.0,50210.0,2.0,17.0,20.0,3.0,7.0,1.0,7.0,6.72
275,40.0,3.0,51260.0,5.0,18.0,20.0,2.0,18.0,1.0,12.0,8.62
276,53.0,7.0,28590.0,3.0,18.0,32.0,2.0,5.0,1.0,3.0,6.76
277,41.0,6.0,102390.0,3.0,24.0,23.0,3.0,21.0,12.0,6.0,7.71
278,60.0,8.0,53290.0,8.0,20.0,10.0,3.0,2.0,2.0,2.0,6.61
279,27.0,29.0,43250.0,1.0,14.0,9.0,2.0,9.0,1.0,7.0,7.35
280,41.0,3.0,72600.0,1.0,16.0,22.0,2.0,22.0,2.0,10.0,6.17
281,50.0,9.0,23220.0,7.0,25.0,4.0,0.0,2.0,2.0,2.0,7.39
282,28.0,2.0,20750.0,7.0,18.0,10.0,0.0,7.0,3.0,7.0,8.1
283,36.0,10.0,41520.0,9.0,19.0,10.0,3.0,8.0,0.0,5.0,6.02
284,38.0,1.0,96190.0,4.0,13.0,10.0,2.0,1.0,0.0,0.0,9.81
285,44.0,8.0,135030.0,2.0,12.0,9.0,6.0,5.0,1.0,4.0,6.11
286,47.0,27.0,54410.0,9.0,22.0,28.0,6.0,22.0,11.0,13.0,8.31
287,30.0,8.0,52090.0,7.0,14.0,10.0,3.0,8.0,7.0,7.0,7.52
288,29.0,1.0,106730.0,1.0,13.0,1.0,2.0,1.0,0.0,0.0,6.41
289,42.0,10.0,50100.0,6.0,21.0,7.0,3.0,2.0,2.0,2.0,10.01
290,43.0,26.0,135490.0,3.0,11.0,7.0,3.0,2.0,2.0,2.0,7.1
291,34.0,2.0,49990.0,3.0,12.0,10.0,2.0,5.0,4.0,3.0,6.41
292,23.0,13.0,42210.0,1.0,11.0,5.0,4.0,4.0,0.0,2.0,7.8
