EmployeeID,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,mean_time,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,StockOptionLevel,resignationReason,retirementType
46,31.0,8.0,29360.0,4.0,12.0,10.0,2.0,8.0,7.0,7.0,7.17,Travel_Rarely,Research & Development,1,Technical Degree,Male,1,Manufacturing Director,Married,3,3,2.0,4.0,2.0,1,Others,Resignation
47,39.0,5.0,21050.0,0.0,20.0,19.0,3.0,18.0,3.0,7.0,7.64,Travel_Rarely,Sales,4,Marketing,Female,2,Human Resources,Divorced,3,4,3.0,4.0,2.0,0,Others,Resignation
48,36.0,5.0,85780.0,7.0,21.0,11.0,4.0,9.0,0.0,8.0,7.83,Non-Travel,Research & Development,4,Life Sciences,Male,1,Sales Executive,Married,3,4,2.0,2.0,3.0,0,Others,Resignation
49,32.0,2.0,27060.0,1.0,21.0,13.0,4.0,13.0,4.0,8.0,6.97,Travel_Rarely,Sales,3,Marketing,Male,2,Laboratory Technician,Married,3,4,4.0,3.0,2.0,1,Others,Resignation
50,38.0,5.0,63840.0,3.0,19.0,19.0,4.0,10.0,0.0,1.0,6.91,Travel_Rarely,Research & Development,2,Life Sciences,Female,3,Research Scientist,Married,2,3,1.0,2.0,3.0,2,Others,Resignation
51,58.0,2.0,39680.0,2.0,13.0,12.0,3.0,5.0,1.0,2.0,10.9,Non-Travel,Research & Development,3,Life Sciences,Male,2,Manufacturing Director,Divorced,2,3,4.0,3.0,3.0,2,Others,Resignation
52,31.0,20.0,99070.0,0.0,13.0,6.0,3.0,5.0,0.0,3.0,9.12,Travel_Rarely,Research & Development,1,Technical Degree,Female,3,Research Scientist,Married,2,3,3.0,4.0,3.0,1,Others,Resignation
53,31.0,7.0,132250.0,3.0,21.0,9.0,2.0,2.0,1.0,0.0,6.83,Travel_Rarely,Sales,4,Marketing,Male,2,Sales Executive,Married,3,4,1.0,1.0,3.0,1,Others,Resignation
54,45.0,3.0,35400.0,1.0,13.0,24.0,6.0,24.0,9.0,11.0,7.32,Travel_Frequently,Research & Development,1,Medical,Female,1,Sales Executive,Divorced,3,3,1.0,1.0,3.0,0,Others,Resignation
55,31.0,16.0,28040.0,0.0,19.0,3.0,0.0,2.0,2.0,2.0,8.61,Travel_Rarely,Sales,4,Marketing,Female,2,Research Scientist,Divorced,3,3,3.0,4.0,1.0,2,Others,Resignation
56,33.0,9.0,193920.0,6.0,12.0,12.0,3.0,10.0,8.0,8.0,6.78,Travel_Frequently,Research & Development,3,Life Sciences,Male,4,Research Director,Married,3,3,4.0,2.0,3.0,1,Others,Resignation
57,39.0,1.0,196650.0,1.0,22.0,21.0,6.0,21.0,11.0,10.0,10.99,Travel_Rarely,Sales,4,Life Sciences,Male,1,Sales Executive,Married,3,4,3.0,1.0,3.0,1,Others,Resignation
58,43.0,7.0,24390.0,0.0,15.0,9.0,2.0,8.0,1.0,7.0,7.69,Travel_Frequently,Research & Development,4,Medical,Male,4,Research Scientist,Single,3,3,3.0,4.0,3.0,0,Others,Resignation
59,49.0,1.0,73140.0,7.0,22.0,25.0,2.0,7.0,0.0,7.0,9.95,Travel_Rarely,Research & Development,3,Life Sciences,Male,3,Manufacturing Director,Single,3,4,3.0,3.0,3.0,0,Others,Resignation
60,52.0,7.0,47740.0,2.0,18.0,11.0,2.0,8.0,7.0,7.0,7.91,Travel_Rarely,Research & Development,1,Life Sciences,Female,2,Research Scientist,Married,3,3,3.0,2.0,2.0,1,Others,Resignation
61,27.0,15.0,39020.0,1.0,22.0,4.0,2.0,4.0,1.0,2.0,10.67,Travel_Rarely,Research & Development,4,Medical,Male,3,Research Scientist,Single,3,4,3.0,2.0,2.0,0,Others,Resignation
62,32.0,1.0,26620.0,1.0,11.0,13.0,6.0,13.0,11.0,9.0,10.5,Travel_Rarely,Research & Development,3,Life Sciences,Male,3,Research Scientist,Married,4,3,3.0,2.0,3.0,1,Others,Resignation
63,27.0,13.0,28560.0,1.0,12.0,5.0,5.0,5.0,0.0,4.0,10.07,Travel_Rarely,Research & Development,2,Medical,Female,4,Research Director,Single,4,3,4.0,3.0,3.0,2,Others,Resignation
64,31.0,24.0,10810.0,4.0,11.0,13.0,4.0,7.0,1.0,7.0,6.61,Travel_Rarely,Sales,3,Life Sciences,Male,2,Healthcare Representative,Divorced,4,3,4.0,4.0,3.0,3,Others,Resignation
65,32.0,7.0,24720.0,7.0,13.0,10.0,2.0,7.0,0.0,7.0,7.5,Travel_Rarely,Research & Development,3,Technical Degree,Male,2,Healthcare Representative,Single,3,3,1.0,4.0,2.0,0,Others,Resignation
66,28.0,9.0,56730.0,5.0,14.0,5.0,4.0,3.0,2.0,2.0,10.73,Travel_Rarely,Research & Development,4,Medical,Male,1,Sales Executive,Married,2,3,1.0,4.0,2.0,1,Salary,Resignation
67,30.0,13.0,41970.0,1.0,13.0,11.0,3.0,10.0,1.0,9.0,6.18,Travel_Rarely,Research & Development,3,Life Sciences,Female,4,Research Director,Married,3,3,4.0,4.0,3.0,0,Others,Resignation
68,31.0,2.0,97130.0,1.0,17.0,10.0,5.0,10.0,8.0,9.0,6.61,Travel_Frequently,Research & Development,1,Life Sciences,Female,1,Manager,Married,2,3,3.0,3.0,3.0,0,Others,Resignation
69,39.0,19.0,20620.0,1.0,13.0,21.0,4.0,21.0,13.0,3.0,6.08,Travel_Frequently,Research & Development,4,Medical,Female,1,Research Scientist,Married,3,3,3.0,4.0,3.0,0,Others,Resignation
70,39.0,1.0,42840.0,4.0,17.0,12.0,0.0,1.0,0.0,0.0,9.97,Travel_Rarely,Research & Development,1,Medical,Female,1,Laboratory Technician,Married,3,3,4.0,3.0,2.0,1,Others,Fired
71,33.0,4.0,47880.0,3.0,11.0,9.0,0.0,7.0,0.0,1.0,7.42,Travel_Frequently,Sales,2,Life Sciences,Male,4,Research Scientist,Single,3,3,2.0,4.0,2.0,1,Others,Resignation
72,47.0,4.0,59060.0,4.0,23.0,21.0,4.0,3.0,1.0,1.0,6.49,Travel_Rarely,Research & Development,3,Life Sciences,Female,2,Healthcare Representative,Married,4,4,4.0,3.0,3.0,0,Others,Resignation
73,43.0,14.0,38860.0,1.0,17.0,9.0,2.0,9.0,0.0,0.0,6.3,Travel_Frequently,Research & Development,3,Medical,Female,5,Research Director,Divorced,3,3,3.0,3.0,4.0,2,Others,Resignation
74,27.0,2.0,168230.0,0.0,17.0,6.0,3.0,5.0,1.0,4.0,9.32,Non-Travel,Research & Development,3,Life Sciences,Male,1,Research Director,Married,3,3,3.0,2.0,3.0,0,Others,Resignation
75,54.0,1.0,29330.0,3.0,12.0,20.0,2.0,4.0,0.0,3.0,6.1,Travel_Frequently,Research & Development,4,Life Sciences,Male,2,Research Scientist,Single,3,3,4.0,3.0,2.0,2,Others,Resignation
76,43.0,7.0,65000.0,8.0,23.0,10.0,3.0,1.0,0.0,0.0,7.22,Travel_Rarely,Research & Development,2,Life Sciences,Female,2,Manager,Married,3,4,3.0,1.0,2.0,0,Others,Resignation
77,45.0,3.0,171740.0,9.0,14.0,12.0,6.0,10.0,9.0,8.0,7.1,Travel_Rarely,Sales,1,Marketing,Female,1,Sales Executive,Married,3,3,4.0,4.0,3.0,1,Others,Resignation
78,40.0,2.0,50330.0,2.0,14.0,6.0,6.0,4.0,0.0,2.0,9.91,Travel_Rarely,Research & Development,4,Other,Male,4,Research Scientist,Married,3,3,2.0,4.0,2.0,2,Others,Resignation
79,29.0,29.0,23070.0,1.0,13.0,7.0,0.0,7.0,0.0,7.0,10.48,Travel_Rarely,Research & Development,3,Medical,Female,1,Research Scientist,Married,3,3,2.0,1.0,2.0,1,Salary,Resignation
80,29.0,8.0,25870.0,0.0,22.0,4.0,3.0,3.0,2.0,2.0,6.91,Travel_Rarely,Human Resources,3,Medical,Male,3,Sales Representative,Single,3,4,2.0,4.0,3.0,2,Others,Resignation
81,30.0,10.0,55070.0,1.0,12.0,10.0,2.0,10.0,1.0,2.0,7.59,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Research Scientist,Divorced,2,3,4.0,3.0,3.0,2,Others,Resignation
82,27.0,11.0,43930.0,1.0,18.0,8.0,2.0,8.0,0.0,7.0,6.08,Travel_Rarely,Research & Development,2,Medical,Male,1,Manager,Married,2,3,2.0,2.0,3.0,1,Others,Resignation
83,37.0,1.0,133480.0,7.0,14.0,8.0,4.0,6.0,0.0,4.0,6.0,Travel_Rarely,Sales,4,Life Sciences,Male,2,Healthcare Representative,Divorced,3,3,4.0,4.0,2.0,0,Others,Resignation
84,38.0,28.0,65830.0,0.0,12.0,12.0,1.0,11.0,2.0,9.0,8.98,Travel_Rarely,Research & Development,4,Medical,Male,1,Laboratory Technician,Divorced,3,3,3.0,4.0,3.0,0,Others,Resignation
85,31.0,6.0,81030.0,1.0,15.0,11.0,5.0,11.0,4.0,10.0,10.43,Travel_Rarely,Research & Development,3,Medical,Female,3,Manager,Single,3,3,3.0,4.0,3.0,1,Others,Resignation
86,29.0,3.0,39780.0,1.0,11.0,7.0,0.0,7.0,1.0,7.0,8.39,Travel_Rarely,Research & Development,4,Life Sciences,Male,3,Sales Executive,Divorced,3,3,4.0,2.0,3.0,0,Others,Resignation
87,35.0,16.0,25440.0,0.0,13.0,17.0,3.0,16.0,0.0,13.0,7.91,Travel_Rarely,Sales,2,Technical Degree,Male,3,Manager,Single,4,3,3.0,2.0,3.0,1,Others,Resignation
88,23.0,20.0,53990.0,1.0,23.0,4.0,2.0,4.0,0.0,2.0,7.11,Travel_Rarely,Research & Development,4,Life Sciences,Male,1,Manufacturing Director,Divorced,2,4,3.0,4.0,2.0,0,Others,Resignation
89,41.0,9.0,54870.0,6.0,19.0,8.0,0.0,5.0,1.0,2.0,9.69,Travel_Rarely,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,Single,3,3,4.0,2.0,3.0,2,Others,Resignation
90,47.0,1.0,68340.0,3.0,16.0,5.0,2.0,0.0,0.0,0.0,7.77,Travel_Frequently,Sales,3,Medical,Female,2,Laboratory Technician,Single,4,3,2.0,3.0,3.0,1,Others,Resignation
91,42.0,3.0,10910.0,2.0,22.0,16.0,0.0,1.0,0.0,0.0,6.28,Travel_Rarely,Research & Development,4,Life Sciences,Male,1,Manager,Single,1,4,1.0,4.0,3.0,0,Others,Resignation
92,29.0,22.0,57360.0,1.0,22.0,4.0,1.0,4.0,0.0,2.0,6.31,Non-Travel,Sales,4,Marketing,Male,2,Human Resources,Married,2,4,4.0,3.0,2.0,0,Others,Resignation
93,42.0,7.0,22260.0,0.0,12.0,4.0,3.0,3.0,1.0,0.0,8.83,Travel_Rarely,Sales,4,Medical,Male,3,Research Scientist,Divorced,2,3,3.0,3.0,3.0,1,Others,Resignation
94,32.0,2.0,57470.0,1.0,13.0,8.0,0.0,8.0,0.0,7.0,7.72,Travel_Rarely,Research & Development,3,Medical,Male,2,Research Scientist,Married,3,3,3.0,2.0,3.0,0,Others,Resignation
95,48.0,13.0,98540.0,3.0,16.0,15.0,2.0,0.0,0.0,0.0,7.32,Travel_Rarely,Sales,4,Medical,Male,4,Sales Executive,Married,2,3,1.0,3.0,1.0,1,Others,Resignation
96,37.0,8.0,54670.0,4.0,12.0,13.0,2.0,7.0,6.0,7.0,10.8,Travel_Rarely,Research & Development,5,Technical Degree,Male,2,Manufacturing Director,Divorced,3,3,3.0,1.0,3.0,0,Others,Resignation
97,30.0,25.0,53800.0,7.0,21.0,4.0,0.0,2.0,2.0,2.0,10.4,Non-Travel,Sales,4,Other,Male,1,Healthcare Representative,Married,3,4,4.0,3.0,4.0,1,Others,Resignation
98,26.0,28.0,51510.0,1.0,15.0,8.0,3.0,8.0,7.0,7.0,5.99,Travel_Rarely,Sales,3,Medical,Female,5,Laboratory Technician,Married,3,3,3.0,3.0,3.0,3,Others,Resignation
99,42.0,2.0,21330.0,3.0,13.0,14.0,2.0,1.0,0.0,0.0,6.11,Travel_Rarely,Sales,2,Medical,Female,1,Laboratory Technician,Single,3,3,1.0,4.0,3.0,2,Others,Resignation
100,21.0,9.0,178750.0,1.0,12.0,3.0,5.0,3.0,1.0,2.0,8.13,Travel_Frequently,Research & Development,3,Medical,Female,4,Manufacturing Director,Single,2,3,1.0,2.0,3.0,0,Others,Resignation
101,36.0,28.0,24320.0,4.0,22.0,7.0,4.0,1.0,0.0,0.0,7.31,Non-Travel,Human Resources,3,Human Resources,Male,2,Laboratory Technician,Single,1,4,4.0,4.0,3.0,0,Others,Resignation
102,36.0,6.0,47710.0,4.0,13.0,16.0,2.0,13.0,1.0,12.0,7.11,Travel_Frequently,Research & Development,3,Life Sciences,Female,2,Research Scientist,Married,3,3,1.0,4.0,3.0,1,Others,Resignation
103,57.0,21.0,191610.0,2.0,18.0,15.0,2.0,3.0,1.0,2.0,6.33,Travel_Rarely,Research & Development,4,Life Sciences,Male,5,Research Scientist,Married,1,3,4.0,3.0,3.0,0,Others,Resignation
104,40.0,8.0,50870.0,3.0,14.0,10.0,3.0,7.0,1.0,7.0,8.13,Travel_Rarely,Research & Development,3,Other,Male,2,Sales Executive,Married,3,3,4.0,3.0,3.0,1,Others,Resignation
105,21.0,1.0,28630.0,1.0,14.0,3.0,2.0,3.0,2.0,2.0,7.99,Non-Travel,Research & Development,5,Life Sciences,Female,2,Manager,Single,1,3,1.0,4.0,2.0,0,Others,Resignation
106,33.0,28.0,55610.0,1.0,21.0,1.0,3.0,1.0,0.0,0.0,10.51,Travel_Rarely,Human Resources,2,Human Resources,Female,5,Manager,Single,1,4,4.0,3.0,3.0,1,Salary,Resignation
107,37.0,5.0,21440.0,6.0,19.0,17.0,3.0,5.0,0.0,3.0,7.99,Travel_Rarely,Research & Development,3,Life Sciences,Male,4,Research Scientist,Married,4,3,3.0,1.0,3.0,0,Others,Resignation
108,46.0,2.0,30650.0,2.0,11.0,7.0,3.0,1.0,0.0,0.0,6.1,Non-Travel,Sales,4,Marketing,Female,2,Laboratory Technician,Married,3,3,3.0,3.0,4.0,0,Others,Resignation
109,41.0,16.0,28100.0,1.0,11.0,8.0,3.0,8.0,7.0,7.0,7.59,Travel_Frequently,Research & Development,1,Medical,Female,1,Research Scientist,Single,4,3,1.0,2.0,3.0,0,Others,Resignation
110,50.0,9.0,98880.0,6.0,15.0,20.0,2.0,4.0,1.0,3.0,6.89,Travel_Rarely,Research & Development,3,Medical,Female,3,Laboratory Technician,Single,3,3,4.0,4.0,3.0,0,Others,Resignation
111,40.0,8.0,86280.0,2.0,20.0,8.0,2.0,6.0,1.0,0.0,9.3,Travel_Rarely,Research & Development,3,Medical,Female,1,Healthcare Representative,Married,2,4,3.0,3.0,3.0,0,Stress,Resignation
112,31.0,1.0,28670.0,0.0,24.0,3.0,5.0,2.0,2.0,2.0,10.81,Travel_Rarely,Research & Development,3,Life Sciences,Male,4,Human Resources,Single,3,4,3.0,2.0,3.0,0,Others,Resignation
113,21.0,10.0,53730.0,1.0,12.0,1.0,2.0,1.0,0.0,0.0,5.99,Travel_Rarely,Human Resources,2,Human Resources,Male,1,Laboratory Technician,Single,3,3,3.0,2.0,3.0,1,Others,Resignation
114,29.0,1.0,66670.0,9.0,12.0,6.0,6.0,3.0,1.0,2.0,7.79,Travel_Rarely,Research & Development,3,Life Sciences,Female,2,Research Director,Single,4,3,4.0,4.0,3.0,1,Others,Resignation
115,35.0,29.0,50030.0,9.0,15.0,10.0,2.0,1.0,0.0,0.0,7.72,Travel_Rarely,Research & Development,3,Life Sciences,Female,3,Sales Executive,Single,3,3,3.0,2.0,3.0,0,Others,Resignation
116,27.0,2.0,23670.0,2.0,12.0,5.0,2.0,5.0,0.0,4.0,6.19,Travel_Rarely,Sales,3,Life Sciences,Male,1,Sales Executive,Divorced,3,3,4.0,2.0,3.0,1,Others,Resignation
117,28.0,2.0,28580.0,1.0,12.0,7.0,2.0,7.0,0.0,7.0,7.12,Travel_Rarely,Research & Development,2,Medical,Male,3,Manager,Single,2,3,2.0,4.0,3.0,0,Others,Resignation
118,49.0,2.0,52040.0,8.0,14.0,26.0,3.0,5.0,0.0,0.0,7.82,Travel_Rarely,Sales,3,Technical Degree,Male,2,Manufacturing Director,Single,3,3,2.0,3.0,3.0,1,Others,Resignation
119,51.0,1.0,41050.0,4.0,22.0,18.0,2.0,7.0,0.0,7.0,7.62,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Sales Executive,Married,3,4,3.0,4.0,2.0,1,Others,Resignation
120,36.0,15.0,96790.0,4.0,12.0,6.0,1.0,2.0,2.0,2.0,6.0,Travel_Rarely,Sales,2,Life Sciences,Male,1,Sales Executive,Married,3,3,4.0,3.0,3.0,0,Others,Resignation
121,34.0,7.0,56170.0,8.0,25.0,9.0,3.0,5.0,0.0,4.0,9.11,Non-Travel,Research & Development,3,Life Sciences,Male,1,Sales Representative,Single,3,4,1.0,4.0,2.0,1,Others,Fired
122,55.0,26.0,104480.0,2.0,13.0,30.0,3.0,5.0,1.0,2.0,8.68,Travel_Rarely,Sales,3,Marketing,Male,1,Laboratory Technician,Single,3,3,3.0,4.0,3.0,0,Others,Resignation
