,BusinessTravel,Department,Education,EducationField,Gender,JobLevel,JobRole,MaritalStatus,JobInvolvement,PerformanceRating,EnvironmentSatisfaction,JobSatisfaction,WorkLifeBalance,StockOptionLevel,resignationReason,retirementType
31,Travel_Rarely,Research & Development,3,Other,Male,1,Human Resources,Single,2,3,4.0,4.0,3.0,0,Worked,Worked
32,Travel_Frequently,Research & Development,1,Medical,Female,2,Research Scientist,Single,3,3,3.0,1.0,3.0,0,Worked,Worked
33,Travel_Rarely,Sales,3,Technical Degree,Male,3,Sales Executive,Single,3,3,3.0,2.0,3.0,0,Worked,Worked
34,Travel_Frequently,Research & Development,4,Medical,Male,1,Sales Executive,Divorced,3,3,4.0,2.0,2.0,1,Worked,Worked
35,Travel_Rarely,Research & Development,3,Medical,Male,2,Manager,Single,3,3,4.0,4.0,3.0,2,Others,Resignation
36,Travel_Frequently,Sales,1,Marketing,Male,1,Laboratory Technician,Married,3,3,2.0,4.0,2.0,0,Worked,Worked
37,Travel_Frequently,Sales,2,Marketing,Male,3,Research Director,Married,3,3,3.0,2.0,4.0,0,Worked,Worked
38,Travel_Rarely,Research & Development,4,Life Sciences,Male,1,Sales Executive,Single,2,3,3.0,3.0,3.0,2,Stress,Resignation
39,Travel_Rarely,Sales,2,Life Sciences,Male,1,Laboratory Technician,Married,2,3,3.0,2.0,2.0,0,Worked,Worked
40,Travel_Frequently,Research & Development,3,Other,Female,3,Sales Executive,Married,2,3,3.0,4.0,3.0,2,Worked,Worked
41,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Laboratory Technician,Divorced,2,3,4.0,2.0,3.0,0,Worked,Worked
42,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Laboratory Technician,Single,3,3,4.0,2.0,3.0,0,Worked,Worked
43,Travel_Rarely,Sales,3,Life Sciences,Male,1,Research Scientist,Single,3,3,4.0,3.0,3.0,0,Worked,Worked
44,Travel_Rarely,Research & Development,3,Medical,Male,1,Sales Representative,Single,2,4,2.0,1.0,3.0,2,Worked,Worked
45,Travel_Rarely,Research & Development,1,Technical Degree,Male,1,Manufacturing Director,Married,3,3,2.0,4.0,2.0,1,Worked,Worked
46,Travel_Rarely,Sales,4,Marketing,Female,2,Human Resources,Divorced,3,4,3.0,4.0,2.0,0,Worked,Worked
47,Non-Travel,Research & Development,4,Life Sciences,Male,1,Sales Executive,Married,3,4,2.0,2.0,3.0,0,Worked,Worked
48,Travel_Rarely,Sales,3,Marketing,Male,2,Laboratory Technician,Married,3,4,4.0,3.0,2.0,1,Worked,Worked
49,Travel_Rarely,Research & Development,2,Life Sciences,Female,3,Research Scientist,Married,2,3,1.0,2.0,3.0,2,Worked,Worked
50,Non-Travel,Research & Development,3,Life Sciences,Male,2,Manufacturing Director,Divorced,2,3,4.0,3.0,3.0,2,Worked,Worked
51,Travel_Rarely,Research & Development,1,Technical Degree,Female,3,Research Scientist,Married,2,3,3.0,4.0,3.0,1,Worked,Worked
52,Travel_Rarely,Sales,4,Marketing,Male,2,Sales Executive,Married,3,4,1.0,1.0,3.0,1,Worked,Worked
53,Travel_Frequently,Research & Development,1,Medical,Female,1,Sales Executive,Divorced,3,3,1.0,1.0,3.0,0,Worked,Worked
54,Travel_Rarely,Sales,4,Marketing,Female,2,Research Scientist,Divorced,3,3,3.0,4.0,1.0,2,Worked,Worked
55,Travel_Frequently,Research & Development,3,Life Sciences,Male,4,Research Director,Married,3,3,4.0,2.0,3.0,1,Worked,Worked
56,Travel_Rarely,Sales,4,Life Sciences,Male,1,Sales Executive,Married,3,4,3.0,1.0,3.0,1,Worked,Worked
57,Travel_Frequently,Research & Development,4,Medical,Male,4,Research Scientist,Single,3,3,3.0,4.0,3.0,0,Worked,Worked
58,Travel_Rarely,Research & Development,3,Life Sciences,Male,3,Manufacturing Director,Single,3,4,3.0,3.0,3.0,0,Worked,Worked
59,Travel_Rarely,Research & Development,1,Life Sciences,Female,2,Research Scientist,Married,3,3,3.0,2.0,2.0,1,Others,Resignation
60,Travel_Rarely,Research & Development,4,Medical,Male,3,Research Scientist,Single,3,4,3.0,2.0,2.0,0,Worked,Worked
61,Travel_Rarely,Research & Development,3,Life Sciences,Male,3,Research Scientist,Married,4,3,3.0,2.0,3.0,1,Worked,Worked
62,Travel_Rarely,Research & Development,2,Medical,Female,4,Research Director,Single,4,3,4.0,3.0,3.0,2,Worked,Worked
63,Travel_Rarely,Sales,3,Life Sciences,Male,2,Healthcare Representative,Divorced,4,3,4.0,4.0,3.0,3,Worked,Worked
64,Travel_Rarely,Research & Development,3,Technical Degree,Male,2,Healthcare Representative,Single,3,3,1.0,4.0,2.0,0,Worked,Worked
65,Travel_Rarely,Research & Development,4,Medical,Male,1,Sales Executive,Married,2,3,1.0,4.0,2.0,1,Salary,Resignation
66,Travel_Rarely,Research & Development,3,Life Sciences,Female,4,Research Director,Married,3,3,4.0,4.0,3.0,0,Worked,Worked
67,Travel_Frequently,Research & Development,1,Life Sciences,Female,1,Manager,Married,2,3,3.0,3.0,3.0,0,Worked,Worked
68,Travel_Frequently,Research & Development,4,Medical,Female,1,Research Scientist,Married,3,3,3.0,4.0,3.0,0,Worked,Worked
69,Travel_Rarely,Research & Development,1,Medical,Female,1,Laboratory Technician,Married,3,3,4.0,3.0,2.0,1,Worked,Fired
70,Travel_Frequently,Sales,2,Life Sciences,Male,4,Research Scientist,Single,3,3,2.0,4.0,2.0,1,Worked,Worked
71,Travel_Rarely,Research & Development,3,Life Sciences,Female,2,Healthcare Representative,Married,4,4,4.0,3.0,3.0,0,Worked,Worked
72,Travel_Frequently,Research & Development,3,Medical,Female,5,Research Director,Divorced,3,3,3.0,3.0,4.0,2,Worked,Worked
73,Non-Travel,Research & Development,3,Life Sciences,Male,1,Research Director,Married,3,3,3.0,2.0,3.0,0,Worked,Worked
74,Travel_Frequently,Research & Development,4,Life Sciences,Male,2,Research Scientist,Single,3,3,4.0,3.0,2.0,2,Worked,Worked
75,Travel_Rarely,Research & Development,2,Life Sciences,Female,2,Manager,Married,3,4,3.0,1.0,2.0,0,Worked,Worked
76,Travel_Rarely,Sales,1,Marketing,Female,1,Sales Executive,Married,3,3,4.0,4.0,3.0,1,Worked,Worked
77,Travel_Rarely,Research & Development,4,Other,Male,4,Research Scientist,Married,3,3,2.0,4.0,2.0,2,Worked,Worked
78,Travel_Rarely,Research & Development,3,Medical,Female,1,Research Scientist,Married,3,3,2.0,1.0,2.0,1,Salary,Resignation
79,Travel_Rarely,Human Resources,3,Medical,Male,3,Sales Representative,Single,3,4,2.0,4.0,3.0,2,Worked,Worked
80,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Research Scientist,Divorced,2,3,4.0,3.0,3.0,2,Worked,Worked
81,Travel_Rarely,Research & Development,2,Medical,Male,1,Manager,Married,2,3,2.0,2.0,3.0,1,Worked,Worked
82,Travel_Rarely,Sales,4,Life Sciences,Male,2,Healthcare Representative,Divorced,3,3,4.0,4.0,2.0,0,Worked,Worked
83,Travel_Rarely,Research & Development,4,Medical,Male,1,Laboratory Technician,Divorced,3,3,3.0,4.0,3.0,0,Worked,Worked
84,Travel_Rarely,Research & Development,3,Medical,Female,3,Manager,Single,3,3,3.0,4.0,3.0,1,Worked,Worked
85,Travel_Rarely,Research & Development,4,Life Sciences,Male,3,Sales Executive,Divorced,3,3,4.0,2.0,3.0,0,Worked,Worked
86,Travel_Rarely,Sales,2,Technical Degree,Male,3,Manager,Single,4,3,3.0,2.0,3.0,1,Worked,Worked
87,Travel_Rarely,Research & Development,4,Life Sciences,Male,1,Manufacturing Director,Divorced,2,4,3.0,4.0,2.0,0,Worked,Worked
88,Travel_Rarely,Research & Development,2,Life Sciences,Female,1,Laboratory Technician,Single,3,3,4.0,2.0,3.0,2,Worked,Worked
89,Travel_Frequently,Sales,3,Medical,Female,2,Laboratory Technician,Single,4,3,2.0,3.0,3.0,1,Worked,Worked
90,Travel_Rarely,Research & Development,4,Life Sciences,Male,1,Manager,Single,1,4,1.0,4.0,3.0,0,Worked,Worked
91,Non-Travel,Sales,4,Marketing,Male,2,Human Resources,Married,2,4,4.0,3.0,2.0,0,Worked,Worked
92,Travel_Rarely,Sales,4,Medical,Male,3,Research Scientist,Divorced,2,3,3.0,3.0,3.0,1,Worked,Worked
93,Travel_Rarely,Research & Development,3,Medical,Male,2,Research Scientist,Married,3,3,3.0,2.0,3.0,0,Worked,Worked
94,Travel_Rarely,Sales,4,Medical,Male,4,Sales Executive,Married,2,3,1.0,3.0,1.0,1,Worked,Worked
95,Travel_Rarely,Research & Development,5,Technical Degree,Male,2,Manufacturing Director,Divorced,3,3,3.0,1.0,3.0,0,Worked,Worked
96,Non-Travel,Sales,4,Other,Male,1,Healthcare Representative,Married,3,4,4.0,3.0,4.0,1,Worked,Worked
97,Travel_Rarely,Sales,3,Medical,Female,5,Laboratory Technician,Married,3,3,3.0,3.0,3.0,3,Worked,Worked
98,Travel_Rarely,Sales,2,Medical,Female,1,Laboratory Technician,Single,3,3,1.0,4.0,3.0,2,Worked,Worked
99,Travel_Frequently,Research & Development,3,Medical,Female,4,Manufacturing Director,Single,2,3,1.0,2.0,3.0,0,Others,Resignation
100,Non-Travel,Human Resources,3,Human Resources,Male,2,Laboratory Technician,Single,1,4,4.0,4.0,3.0,0,Worked,Worked
101,Travel_Frequently,Research & Development,3,Life Sciences,Female,2,Research Scientist,Married,3,3,1.0,4.0,3.0,1,Worked,Worked
102,Travel_Rarely,Research & Development,4,Life Sciences,Male,5,Research Scientist,Married,1,3,4.0,3.0,3.0,0,Worked,Worked
103,Travel_Rarely,Research & Development,3,Other,Male,2,Sales Executive,Married,3,3,4.0,3.0,3.0,1,Worked,Worked
104,Non-Travel,Research & Development,5,Life Sciences,Female,2,Manager,Single,1,3,1.0,4.0,2.0,0,Worked,Worked
105,Travel_Rarely,Human Resources,2,Human Resources,Female,5,Manager,Single,1,4,4.0,3.0,3.0,1,Salary,Resignation
106,Travel_Rarely,Research & Development,3,Life Sciences,Male,4,Research Scientist,Married,4,3,3.0,1.0,3.0,0,Worked,Worked
107,Non-Travel,Sales,4,Marketing,Female,2,Laboratory Technician,Married,3,3,3.0,3.0,4.0,0,Worked,Worked
108,Travel_Frequently,Research & Development,1,Medical,Female,1,Research Scientist,Single,4,3,1.0,2.0,3.0,0,Others,Resignation
109,Travel_Rarely,Research & Development,3,Medical,Female,3,Laboratory Technician,Single,3,3,4.0,4.0,3.0,0,Worked,Worked
110,Travel_Rarely,Research & Development,3,Medical,Female,1,Healthcare Representative,Married,2,4,3.0,3.0,3.0,0,Stress,Resignation
111,Travel_Rarely,Research & Development,3,Life Sciences,Male,4,Human Resources,Single,3,4,3.0,2.0,3.0,0,Worked,Worked
112,Travel_Rarely,Human Resources,2,Human Resources,Male,1,Laboratory Technician,Single,3,3,3.0,2.0,3.0,1,Others,Resignation
113,Travel_Rarely,Research & Development,3,Life Sciences,Female,2,Research Director,Single,4,3,4.0,4.0,3.0,1,Worked,Worked
114,Travel_Rarely,Research & Development,3,Life Sciences,Female,3,Sales Executive,Single,3,3,3.0,2.0,3.0,0,Worked,Worked
115,Travel_Rarely,Research & Development,0,Life Sciences,Male,0,Sales Executive,Married,3,3,4.0,2.0,3.0,0,Worked,Worked
116,Travel_Rarely,Research & Development,2,Medical,Male,3,Manager,Single,2,3,2.0,4.0,3.0,0,Worked,Worked
117,Travel_Rarely,Sales,3,Technical Degree,Male,2,Manufacturing Director,Single,3,3,2.0,3.0,3.0,1,Worked,Worked
118,Travel_Rarely,Research & Development,2,Life Sciences,Male,1,Sales Executive,Married,3,4,3.0,4.0,2.0,1,Worked,Worked
119,Travel_Rarely,Sales,2,Life Sciences,Male,1,Sales Executive,Married,3,3,4.0,3.0,3.0,0,Worked,Worked
120,Non-Travel,Research & Development,3,Life Sciences,Male,1,Sales Representative,Single,3,4,1.0,4.0,2.0,1,Worked,Fired
121,Travel_Rarely,Sales,3,Marketing,Male,1,Laboratory Technician,Single,3,3,3.0,4.0,3.0,0,Worked,Worked
122,Travel_Rarely,Research & Development,3,Life Sciences,Female,5,Manager,Divorced,3,3,4.0,3.0,4.0,3,Worked,Worked
123,Travel_Rarely,Research & Development,3,Life Sciences,Female,2,Manager,Married,3,3,3.0,2.0,3.0,0,Worked,Worked
124,Travel_Frequently,Sales,3,Life Sciences,Male,2,Manager,Single,3,3,3.0,4.0,3.0,3,Stress,Resignation
125,Travel_Rarely,Research & Development,5,Other,Male,1,Research Scientist,Married,2,3,1.0,2.0,3.0,2,Worked,Worked
126,Travel_Rarely,Research & Development,3,Medical,Female,5,Healthcare Representative,Married,3,3,2.0,3.0,3.0,1,Worked,Worked
127,Travel_Frequently,Sales,2,Marketing,Male,3,Research Scientist,Single,2,3,3.0,4.0,3.0,0,Others,Resignation
128,Travel_Rarely,Research & Development,1,Technical Degree,Male,1,Sales Executive,Divorced,3,3,4.0,1.0,2.0,1,Worked,Worked
129,Travel_Rarely,Research & Development,2,Medical,Male,3,Research Scientist,Divorced,2,3,4.0,2.0,3.0,2,Worked,Worked
130,Travel_Rarely,Research & Development,3,Medical,Female,4,Manager,Divorced,2,3,2.0,1.0,3.0,1,Worked,Worked
131,Travel_Rarely,Sales,1,Marketing,Male,3,Sales Executive,Single,2,3,3.0,2.0,2.0,1,Worked,Worked
132,Travel_Rarely,Sales,2,Life Sciences,Female,1,Sales Executive,Divorced,3,3,1.0,2.0,3.0,0,Worked,Worked
133,Travel_Rarely,Sales,2,Life Sciences,Female,1,Laboratory Technician,Married,2,3,2.0,3.0,3.0,0,Worked,Worked
134,Travel_Rarely,Human Resources,3,Life Sciences,Female,2,Manufacturing Director,Married,2,4,1.0,1.0,2.0,1,Worked,Worked
135,Non-Travel,Research & Development,3,Medical,Male,1,Laboratory Technician,Married,3,4,3.0,3.0,3.0,1,Worked,Worked
136,Travel_Rarely,Research & Development,4,Life Sciences,Male,3,Sales Executive,Married,2,3,2.0,1.0,1.0,1,Worked,Worked
137,Travel_Rarely,Research & Development,0,Life Sciences,Male,0,Sales Executive,Married,2,3,4.0,4.0,3.0,0,Worked,Worked
138,Travel_Rarely,Sales,4,Life Sciences,Male,2,Sales Representative,Divorced,3,3,3.0,3.0,3.0,1,Worked,Worked
139,Travel_Rarely,Human Resources,2,Human Resources,Male,1,Manufacturing Director,Single,4,3,2.0,4.0,3.0,1,Worked,Worked
140,Non-Travel,Research & Development,3,Medical,Male,3,Laboratory Technician,Married,2,4,2.0,3.0,3.0,0,Worked,Worked
141,Travel_Rarely,Research & Development,1,Medical,Male,3,Laboratory Technician,Married,3,3,4.0,1.0,3.0,1,Worked,Worked
142,Travel_Frequently,Research & Development,4,Technical Degree,Female,1,Sales Executive,Divorced,1,4,2.0,3.0,3.0,1,Worked,Worked
143,Travel_Frequently,Research & Development,4,Life Sciences,Female,3,Sales Executive,Married,3,3,3.0,1.0,2.0,0,Worked,Worked
144,Travel_Rarely,Sales,4,Medical,Female,2,Manufacturing Director,Single,3,3,2.0,3.0,3.0,1,Worked,Worked
145,Travel_Rarely,Research & Development,3,Technical Degree,Female,3,Research Scientist,Married,2,3,2.0,1.0,3.0,0,Worked,Worked
146,Travel_Rarely,Research & Development,3,Medical,Male,3,Healthcare Representative,Divorced,2,3,3.0,1.0,3.0,0,Worked,Worked
147,Travel_Rarely,Research & Development,2,Life Sciences,Female,3,Laboratory Technician,Married,3,3,1.0,1.0,3.0,0,Salary,Resignation
148,Travel_Rarely,Research & Development,2,Life Sciences,Female,2,Sales Representative,Married,2,4,4.0,3.0,3.0,0,Worked,Worked
149,Travel_Rarely,Research & Development,3,Medical,Female,1,Sales Executive,Married,3,3,1.0,4.0,2.0,1,Worked,Worked
150,Travel_Rarely,Research & Development,3,Medical,Male,2,Research Scientist,Married,3,3,4.0,4.0,1.0,1,Worked,Worked
151,Travel_Frequently,Sales,3,Marketing,Female,2,Healthcare Representative,Divorced,2,3,1.0,3.0,3.0,1,Worked,Worked
152,Travel_Rarely,Sales,3,Marketing,Male,1,Sales Executive,Single,3,4,3.0,4.0,3.0,1,Worked,Worked
153,Travel_Rarely,Research & Development,3,Life Sciences,Female,1,Manufacturing Director,Married,3,3,1.0,1.0,1.0,1,Worked,Worked
154,Travel_Rarely,Sales,4,Marketing,Female,1,Sales Executive,Divorced,2,3,3.0,3.0,2.0,0,Worked,Worked
155,Travel_Frequently,Research & Development,4,Technical Degree,Male,4,Sales Executive,Married,3,3,4.0,4.0,4.0,2,Worked,Worked
156,Travel_Rarely,Research & Development,2,Medical,Male,1,Research Scientist,Single,2,3,1.0,2.0,3.0,1,Others,Resignation
157,Travel_Frequently,Research & Development,3,Medical,Male,2,Research Scientist,Divorced,3,4,4.0,3.0,2.0,1,Others,Resignation
158,Travel_Frequently,Sales,3,Marketing,Female,2,Sales Executive,Married,3,3,4.0,4.0,3.0,1,Worked,Worked
159,Travel_Rarely,Sales,4,Marketing,Female,1,Sales Executive,Married,2,3,3.0,3.0,3.0,1,Worked,Worked
160,Travel_Rarely,Research & Development,2,Medical,Female,4,Healthcare Representative,Divorced,4,4,1.0,4.0,1.0,0,Worked,Worked
161,Non-Travel,Research & Development,3,Medical,Female,2,Sales Executive,Married,2,3,3.0,4.0,1.0,3,Worked,Worked
162,Travel_Rarely,Research & Development,3,Medical,Female,3,Manufacturing Director,Married,3,3,2.0,3.0,3.0,0,Worked,Worked
163,Travel_Rarely,Research & Development,4,Life Sciences,Male,3,Research Scientist,Married,2,3,3.0,2.0,4.0,1,Others,Resignation
164,Travel_Rarely,Research & Development,3,Medical,Male,1,Sales Executive,Single,3,3,1.0,4.0,4.0,2,Worked,Fired
165,Non-Travel,Research & Development,4,Life Sciences,Female,3,Research Scientist,Married,3,3,3.0,1.0,3.0,1,Worked,Worked
166,Travel_Rarely,Research & Development,2,Life Sciences,Male,4,Research Scientist,Divorced,3,3,1.0,4.0,2.0,1,Worked,Worked
167,Travel_Rarely,Sales,4,Life Sciences,Female,3,Manager,Married,3,3,2.0,3.0,3.0,0,Worked,Worked
168,Non-Travel,Sales,2,Life Sciences,Male,3,Laboratory Technician,Single,3,4,3.0,4.0,2.0,1,Worked,Worked
169,Travel_Frequently,Research & Development,3,Life Sciences,Female,4,Laboratory Technician,Married,3,4,3.0,1.0,4.0,0,Worked,Worked
170,Travel_Rarely,Research & Development,3,Technical Degree,Male,5,Manufacturing Director,Divorced,2,3,1.0,4.0,3.0,2,Worked,Worked
171,Travel_Rarely,Sales,1,Technical Degree,Male,1,Laboratory Technician,Married,2,4,1.0,3.0,1.0,1,Worked,Worked
172,Travel_Rarely,Research & Development,2,Medical,Female,2,Laboratory Technician,Single,3,3,4.0,3.0,3.0,1,Worked,Worked
173,Travel_Rarely,Research & Development,4,Medical,Male,2,Human Resources,Single,3,3,3.0,3.0,3.0,3,Worked,Worked
174,Travel_Rarely,Sales,2,Life Sciences,Male,1,Laboratory Technician,Divorced,4,3,4.0,3.0,3.0,2,Worked,Worked
175,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Healthcare Representative,Married,2,3,3.0,4.0,3.0,0,Worked,Worked
176,Travel_Rarely,Research & Development,3,Life Sciences,Male,2,Research Director,Divorced,3,3,3.0,2.0,4.0,1,Worked,Worked
177,Travel_Rarely,Research & Development,3,Life Sciences,Female,4,Research Director,Married,2,4,2.0,3.0,4.0,0,Others,Resignation
178,Travel_Rarely,Sales,4,Marketing,Male,2,Research Director,Divorced,3,4,1.0,4.0,3.0,0,Salary,Resignation
179,Travel_Rarely,Research & Development,3,Life Sciences,Male,1,Sales Executive,Single,3,3,4.0,2.0,3.0,1,Worked,Worked
180,Travel_Rarely,Research & Development,2,Medical,Female,2,Sales Representative,Married,1,4,4.0,3.0,3.0,1,Worked,Worked
181,Travel_Frequently,Research & Development,2,Medical,Female,2,Sales Executive,Married,2,3,1.0,3.0,3.0,2,Others,Resignation
182,Travel_Frequently,Sales,1,Marketing,Male,1,Research Director,Divorced,4,4,2.0,1.0,3.0,1,Worked,Fired
183,Travel_Frequently,Research & Development,4,Medical,Female,1,Research Scientist,Married,2,3,2.0,3.0,3.0,3,Worked,Worked
184,Non-Travel,Research & Development,4,Medical,Male,1,Research Scientist,Single,3,3,2.0,4.0,2.0,0,Worked,Worked
185,Travel_Frequently,Research & Development,3,Medical,Female,2,Laboratory Technician,Single,3,3,3.0,3.0,3.0,2,Stress,Resignation
186,Travel_Rarely,Research & Development,3,Medical,Male,1,Laboratory Technician,Married,3,3,2.0,4.0,3.0,1,Worked,Worked
187,Travel_Rarely,Research & Development,3,Medical,Female,1,Sales Executive,Single,3,3,1.0,2.0,3.0,0,Worked,Worked
188,Non-Travel,Research & Development,2,Life Sciences,Female,2,Research Scientist,Single,2,3,4.0,4.0,3.0,1,Worked,Worked
189,Travel_Rarely,Research & Development,3,Medical,Female,1,Sales Representative,Married,2,3,2.0,3.0,3.0,0,Worked,Worked
190,Travel_Rarely,Research & Development,3,Life Sciences,Female,2,Laboratory Technician,Single,3,3,2.0,3.0,3.0,0,Worked,Worked
191,Travel_Frequently,Research & Development,1,Medical,Male,1,Research Scientist,Married,3,3,3.0,3.0,3.0,1,Worked,Worked
192,Travel_Rarely,Research & Development,4,Life Sciences,Male,3,Research Director,Single,2,3,2.0,4.0,4.0,2,Worked,Worked
193,Travel_Rarely,Research & Development,3,Medical,Male,3,Sales Executive,Married,3,3,4.0,1.0,2.0,0,Worked,Worked
194,Travel_Rarely,Research & Development,1,Medical,Female,4,Sales Executive,Married,3,4,4.0,2.0,4.0,0,Worked,Worked
195,Travel_Frequently,Research & Development,1,Life Sciences,Female,2,Laboratory Technician,Divorced,3,3,3.0,3.0,2.0,0,Salary,Resignation
196,Travel_Rarely,Research & Development,3,Medical,Male,1,Research Scientist,Divorced,2,3,4.0,4.0,4.0,0,Worked,Worked
197,Travel_Rarely,Research & Development,3,Medical,Female,1,Laboratory Technician,Divorced,3,3,1.0,3.0,3.0,0,Worked,Worked
198,Travel_Rarely,Research & Development,4,Life Sciences,Female,1,Sales Executive,Divorced,3,3,3.0,4.0,2.0,2,Worked,Worked
199,Travel_Frequently,Research & Development,3,Technical Degree,Male,1,Sales Executive,Single,4,3,2.0,2.0,3.0,2,Salary,Resignation
200,Non-Travel,Research & Development,4,Technical Degree,Female,2,Laboratory Technician,Divorced,2,3,3.0,1.0,3.0,0,Worked,Worked
201,Non-Travel,Research & Development,3,Life Sciences,Male,2,Manufacturing Director,Single,2,3,1.0,3.0,3.0,2,Worked,Worked
202,Travel_Rarely,Research & Development,4,Medical,Male,3,Healthcare Representative,Divorced,2,3,1.0,3.0,3.0,3,Worked,Worked
203,Travel_Rarely,Research & Development,4,Medical,Male,2,Human Resources,Single,2,3,1.0,3.0,3.0,0,Worked,Worked
204,Travel_Rarely,Research & Development,3,Medical,Male,1,Laboratory Technician,Single,2,3,4.0,4.0,3.0,1,Worked,Worked
205,Travel_Rarely,Sales,3,Marketing,Female,2,Manufacturing Director,Single,1,4,3.0,4.0,1.0,0,Salary,Resignation
206,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Sales Executive,Single,3,3,2.0,4.0,4.0,1,Worked,Worked
207,Travel_Frequently,Research & Development,1,Medical,Male,5,Human Resources,Married,3,3,1.0,3.0,2.0,0,Worked,Worked
208,Travel_Rarely,Research & Development,1,Life Sciences,Male,1,Research Director,Married,3,3,2.0,1.0,3.0,1,Worked,Worked
