,Unnamed: 0,Age,DistanceFromHome,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsSinceLastPromotion,YearsWithCurrManager,mean_time
102,102,57,21,191610,2.0,18,15,2,3,1,2,6.33
103,103,40,8,50870,3.0,14,10,3,7,1,7,8.13
104,104,21,1,28630,1.0,14,3,2,3,2,2,7.99
105,105,33,28,55610,1.0,21,1,3,1,0,0,10.51
106,106,37,5,21440,6.0,19,17,3,5,0,3,7.99
107,107,46,2,30650,2.0,11,7,3,1,0,0,6.1
108,108,41,16,28100,1.0,11,8,3,8,7,7,7.59
109,109,50,9,98880,6.0,15,20,2,4,1,3,6.89
110,110,40,8,86280,2.0,20,8,2,6,1,0,9.3
111,111,31,1,28670,0.0,24,3,5,2,2,2,10.81
112,112,21,10,53730,1.0,12,1,2,1,0,0,5.99
113,113,29,1,66670,9.0,12,6,6,3,1,2,7.79
114,114,35,29,50030,9.0,15,10,2,1,0,0,7.72
115,115,0,0,0,1.0,0,0,0,0,0,0,6.19
116,116,28,2,28580,1.0,12,7,2,7,0,7,7.12
117,117,49,2,52040,8.0,14,26,3,5,0,0,7.82
118,118,51,1,41050,4.0,22,18,2,7,0,7,7.62
119,119,36,15,96790,4.0,12,6,1,2,2,2,6.0
120,120,34,7,56170,8.0,25,9,3,5,0,4,9.11
121,121,55,26,104480,2.0,13,30,3,5,1,2,8.68
122,122,24,1,28970,1.0,18,5,4,5,0,3,9.99
123,123,30,3,59680,1.0,13,1,3,1,0,0,6.9
124,124,26,14,75100,0.0,18,7,3,6,0,4,7.0
125,125,22,16,29910,1.0,19,2,3,2,1,2,6.29
126,126,36,1,196360,1.0,12,10,3,10,9,0,6.37
127,127,30,3,11290,9.0,19,3,2,1,0,0,8.19
128,128,37,10,133410,1.0,14,18,3,18,12,17,6.45
129,129,40,6,43320,7.0,14,8,3,5,1,3,6.68
130,130,42,2,110310,3.0,12,8,2,5,1,2,7.48
131,131,37,9,44400,2.0,11,18,3,1,0,1,9.92
132,132,43,10,46170,1.0,11,25,2,25,3,9,7.42
133,133,40,6,26470,6.0,13,20,2,1,0,0,7.49
134,134,54,9,63230,4.0,23,24,2,4,1,2,6.0
135,135,34,28,56770,9.0,20,6,3,3,1,2,6.86
136,136,31,10,21870,1.0,15,13,2,13,3,12,6.13
137,137,0,0,0,1.0,0,0,0,0,0,0,7.68
138,138,43,27,39770,4.0,18,8,3,5,0,2,8.88
139,139,25,7,86330,1.0,19,5,2,5,1,3,10.9
140,140,37,1,20080,3.0,22,15,5,13,10,7,10.69
141,141,31,24,44400,1.0,13,4,2,4,3,2,7.06
142,142,39,26,30670,1.0,20,21,5,21,1,6,9.01
143,143,56,20,53210,9.0,14,36,1,7,7,7,7.42
144,144,30,5,54100,0.0,17,6,2,5,4,4,7.59
145,145,41,7,27820,1.0,14,10,2,10,0,7,6.62
146,146,28,7,119570,1.0,13,10,2,10,1,8,6.19
147,147,25,5,26600,5.0,13,6,3,2,0,2,6.47
148,148,52,26,33750,2.0,21,28,2,5,0,4,8.2
149,149,45,2,50980,3.0,14,8,4,2,0,2,6.79
150,150,52,12,48780,2.0,11,31,3,5,1,4,7.3
151,151,42,10,28370,2.0,13,19,0,5,0,2,6.82
152,152,30,25,24060,2.0,20,11,5,5,0,2,7.32
153,153,60,10,22690,5.0,18,33,4,29,11,10,6.16
154,154,46,19,41080,2.0,14,19,5,10,0,8,7.61
155,155,42,18,132060,0.0,13,7,2,6,0,4,6.6
156,156,24,27,104220,1.0,17,6,0,5,1,4,10.65
157,157,34,5,137440,0.0,20,3,3,2,1,0,6.2
158,158,38,3,49070,1.0,11,1,3,1,0,0,8.59
159,159,40,26,34820,0.0,18,21,2,20,1,12,6.0
160,160,26,3,24360,1.0,24,3,2,3,0,2,6.28
161,161,30,15,23800,4.0,18,9,2,5,1,4,7.91
162,162,29,8,194310,1.0,11,10,3,10,0,7,7.18
163,163,29,19,17900,5.0,16,6,4,2,1,1,6.65
164,164,19,4,76440,1.0,15,1,2,1,0,0,7.91
165,165,30,2,51310,0.0,15,10,2,9,7,8,6.72
166,166,57,2,63060,3.0,12,32,3,1,0,0,6.29
167,167,50,10,47870,0.0,12,28,3,27,15,7,7.18
168,168,30,10,188800,0.0,22,12,3,11,6,7,6.29
169,169,60,16,23390,4.0,20,22,4,18,13,11,7.22
170,170,47,1,135700,5.0,16,20,2,5,0,4,7.81
171,171,46,4,67120,6.0,21,26,3,3,0,1,6.8
172,172,35,15,54060,0.0,12,6,2,5,4,3,6.48
173,173,54,2,89380,7.0,11,19,2,1,0,0,7.65
174,174,34,8,24390,3.0,11,14,2,7,5,7,7.59
175,175,46,2,88370,2.0,18,15,3,3,1,2,9.18
176,176,31,7,53430,1.0,14,13,3,13,0,8,6.38
177,177,33,10,67280,7.0,22,15,2,7,7,7,8.48
178,178,33,5,66520,7.0,25,8,5,4,1,3,6.96
179,179,30,2,48500,0.0,12,4,4,3,1,2,6.47
180,180,35,12,28090,4.0,23,10,2,8,0,0,8.88
181,181,31,22,56890,3.0,15,12,2,1,0,0,6.59
182,182,34,17,20010,9.0,22,11,5,3,0,2,11.0
183,183,42,2,29770,4.0,15,8,3,2,2,0,7.81
184,184,36,3,40250,1.0,11,10,3,10,9,7,7.23
185,185,22,7,37850,5.0,13,4,2,2,1,2,6.42
186,186,48,6,108540,2.0,14,14,6,9,6,7,6.78
187,187,55,1,120310,3.0,11,37,5,10,7,7,7.39
188,188,41,3,99360,7.0,17,16,2,14,1,10,6.19
189,189,35,22,29660,9.0,18,15,2,11,6,9,6.01
190,190,40,15,25710,7.0,14,22,1,20,5,13,7.3
191,191,39,12,99910,1.0,16,8,3,8,0,7,7.06
192,192,31,1,61420,4.0,13,10,2,6,0,5,8.73
193,193,42,5,53900,1.0,14,10,3,10,5,8,10.81
194,194,45,2,44040,0.0,23,9,2,8,3,7,7.41
195,195,26,2,59930,0.0,12,8,3,7,1,0,9.19
196,196,29,5,51300,4.0,11,8,3,3,1,2,7.39
197,197,33,16,20900,4.0,16,10,2,6,0,5,7.4
198,198,31,2,29090,9.0,14,10,2,5,0,1,6.71
199,199,18,2,34680,1.0,18,0,4,0,0,0,9.23
200,200,40,1,30680,3.0,19,20,3,1,0,1,6.88
201,201,41,23,26700,2.0,15,10,2,8,0,7,9.29
202,202,26,9,26930,5.0,17,8,3,0,0,0,6.02
203,203,35,16,95260,1.0,15,5,2,5,0,3,6.33
204,204,34,26,52370,1.0,19,10,3,10,5,7,6.41
205,205,26,1,24260,1.0,22,1,3,1,0,0,8.75
206,206,37,8,41930,4.0,16,12,5,6,1,2,7.39
207,207,46,4,29110,5.0,13,28,3,2,1,2,6.2
208,208,41,24,26610,7.0,14,22,2,18,11,8,7.71
209,209,37,7,20280,1.0,16,9,3,9,7,7,7.51
210,210,0,0,0,1.0,0,0,0,0,0,0,9.08
211,211,32,7,32980,8.0,22,6,4,4,1,2,5.99
212,212,24,22,29350,0.0,14,3,5,2,2,1,6.03
213,213,38,5,154270,3.0,16,18,2,1,0,0,6.02
214,214,37,1,39440,6.0,11,8,3,6,4,3,6.9
215,215,49,21,40110,1.0,18,31,2,31,0,9,10.78
216,216,24,1,34070,1.0,15,6,2,6,1,4,8.98
217,217,26,19,119940,1.0,14,6,6,5,1,4,7.38
218,218,24,7,12320,1.0,12,1,4,1,0,0,6.82
219,219,50,2,29600,1.0,14,32,2,32,10,7,6.79
220,220,25,2,190940,1.0,16,7,3,7,0,6,7.41
221,221,24,2,39190,1.0,21,6,3,6,1,2,10.82
222,222,30,9,68250,1.0,14,1,2,1,0,0,6.88
223,223,34,6,102480,1.0,12,6,4,6,1,3,8.91
224,224,31,9,189470,2.0,12,9,2,3,1,2,6.68
225,225,35,2,24960,4.0,17,9,3,3,0,2,7.92
226,226,31,1,64650,4.0,17,13,3,7,5,7,6.31
227,227,27,22,22060,0.0,14,6,4,5,0,3,7.89
228,228,37,9,20860,4.0,14,17,3,3,1,0,8.88
229,229,20,17,22930,1.0,13,1,3,1,0,0,7.09
230,230,42,28,26450,1.0,15,10,5,10,2,2,7.49
231,231,43,10,26830,4.0,11,21,3,1,0,0,8.69
232,232,38,2,20140,3.0,17,8,5,0,0,0,6.8
233,233,43,4,34190,3.0,11,10,5,8,4,7,9.13
234,234,48,8,53760,7.0,13,21,3,3,0,2,7.02
235,235,44,29,19510,4.0,22,10,4,2,0,2,6.7
236,236,34,13,23410,1.0,20,8,3,8,0,6,8.4
237,237,27,27,22930,0.0,18,5,0,4,0,2,6.48
238,238,21,16,87260,1.0,11,3,2,3,1,2,7.23
239,239,44,2,40110,4.0,14,26,2,2,0,1,8.69
240,240,22,2,195450,0.0,14,3,3,2,2,2,6.04
241,241,33,13,45680,0.0,18,6,2,5,1,2,7.28
242,242,32,1,30220,1.0,16,6,3,6,0,5,9.38
243,243,30,4,57720,1.0,17,1,3,1,0,0,7.31
244,244,53,24,22690,7.0,11,18,2,14,8,10,7.11
245,245,34,1,53810,1.0,12,10,0,10,8,8,7.44
246,246,45,19,34410,2.0,13,5,5,1,0,0,7.57
247,247,26,7,54540,1.0,13,3,5,3,0,2,9.96
248,248,37,4,98840,1.0,14,10,3,10,7,8,6.21
249,249,29,2,41570,1.0,17,6,2,6,1,2,6.81
250,250,35,10,134580,1.0,11,17,3,17,11,8,6.66
251,251,33,8,90690,3.0,25,15,3,13,4,7,7.52
252,252,54,5,40140,2.0,19,16,4,9,7,1,6.41
253,253,36,8,59150,2.0,13,13,3,3,0,2,10.7
254,254,27,9,59930,0.0,14,5,3,4,1,1,7.0
255,255,20,1,61620,1.0,12,1,2,1,1,1,8.63
256,256,33,15,24060,1.0,11,10,3,10,9,7,10.4
257,257,35,2,187400,1.0,19,1,2,1,0,0,6.73
258,258,23,2,76370,2.0,11,5,3,3,0,2,7.09
259,259,25,11,100960,0.0,11,4,3,3,1,2,7.68
260,260,38,16,147560,0.0,20,8,3,7,0,5,6.8
261,261,29,2,64990,1.0,18,10,3,10,2,8,7.81
262,262,48,16,97240,3.0,13,12,2,2,2,2,7.1
263,263,27,4,21940,1.0,12,6,5,6,0,4,8.89
264,264,37,16,33880,3.0,11,4,2,1,0,0,7.6
265,265,50,5,54730,1.0,19,20,2,20,3,8,9.12
266,266,34,18,27030,1.0,21,9,2,8,7,7,6.82
267,267,24,17,25010,9.0,12,4,3,2,2,0,7.51
268,268,39,12,62200,1.0,14,20,2,20,11,10,6.71
269,269,32,2,30380,1.0,11,10,5,10,0,8,7.9
270,270,50,4,44240,3.0,14,18,2,4,1,3,8.21
271,271,38,9,43120,0.0,12,10,2,9,1,8,7.17
272,272,27,10,132450,1.0,23,9,3,9,0,7,6.51
273,273,32,1,136640,3.0,14,10,6,7,7,7,7.93
274,274,47,2,50210,2.0,17,20,3,7,1,7,6.72
275,275,40,3,51260,5.0,18,20,2,18,1,12,8.62
276,276,53,7,28590,3.0,18,32,2,5,1,3,6.76
277,277,41,6,102390,3.0,24,23,3,21,12,6,7.71
278,278,60,8,53290,8.0,20,10,3,2,2,2,6.61
279,279,27,29,43250,1.0,14,9,2,9,1,7,7.35
280,280,41,3,72600,1.0,16,22,2,22,2,10,6.17
281,281,50,9,23220,7.0,25,4,0,2,2,2,7.39
282,282,28,2,20750,7.0,18,10,0,7,3,7,8.1
283,283,36,10,41520,9.0,19,10,3,8,0,5,6.02
284,284,38,1,96190,4.0,13,10,2,1,0,0,9.81
285,285,44,8,135030,2.0,12,9,6,5,1,4,6.11
286,286,47,27,54410,9.0,22,28,6,22,11,13,8.31
287,287,30,8,52090,7.0,14,10,3,8,7,7,7.52
288,288,29,1,106730,1.0,13,1,2,1,0,0,6.41
289,289,42,10,50100,6.0,21,7,3,2,2,2,10.01
290,290,43,26,135490,3.0,11,7,3,2,2,2,7.1
291,291,34,2,49990,3.0,12,10,2,5,4,3,6.41
292,292,23,13,42210,1.0,11,5,4,4,0,2,7.8
293,293,39,2,138720,9.0,12,12,3,8,3,6,6.3
294,294,56,2,20420,7.0,12,30,6,10,1,1,7.14
295,295,40,9,20730,0.0,14,5,3,4,2,3,8.8
296,296,27,10,29560,8.0,13,9,6,7,0,7,7.5
297,297,29,20,29260,1.0,15,2,3,2,2,2,7.08
298,298,53,9,48090,2.0,18,19,2,2,2,2,6.28
299,299,35,5,51630,2.0,18,16,4,1,0,0,7.1
300,300,32,4,188440,1.0,19,10,3,10,4,7,7.8
301,301,38,10,181720,6.0,12,6,5,1,0,1,10.9
302,302,34,20,57440,3.0,19,7,4,0,0,0,6.19
303,303,52,21,28890,1.0,11,34,2,34,1,16,5.99
304,304,33,1,28710,1.0,17,10,2,10,7,8,10.05
305,305,25,8,74840,1.0,15,6,3,6,1,4,7.68
306,306,45,2,60740,0.0,14,9,2,8,3,1,5.98
307,307,23,23,173280,1.0,17,2,2,2,0,2,7.98
308,308,0,0,0,1.0,0,0,0,0,0,0,10.01
309,309,34,12,45050,1.0,12,6,3,6,1,4,7.78
310,310,55,7,74280,5.0,12,24,2,5,1,4,7.98
311,311,36,7,116310,1.0,18,10,2,10,0,9,7.4
312,312,52,1,97380,0.0,18,5,2,4,1,2,7.21
313,313,26,2,28350,3.0,11,5,2,2,2,0,7.08
314,314,29,10,169590,4.0,14,11,5,8,1,1,6.29
315,315,26,15,26130,6.0,19,6,2,4,1,2,6.19
316,316,34,14,61460,2.0,12,10,3,4,1,3,6.2
317,317,54,18,49630,9.0,15,9,2,5,1,4,8.91
318,318,27,13,195370,0.0,12,5,5,4,1,1,6.81
319,319,37,2,61720,0.0,11,6,1,5,4,3,9.46
320,320,38,2,23680,6.0,11,17,3,15,4,12,10.81
321,321,34,2,103120,1.0,12,6,2,6,1,3,6.92
322,322,35,5,16750,1.0,16,3,6,3,0,2,7.8
323,323,30,20,25230,3.0,13,7,2,2,0,2,7.17
324,324,40,10,65670,1.0,13,8,3,8,3,7,6.45
325,325,34,10,47390,5.0,24,6,2,3,1,2,7.94
326,326,42,9,92080,1.0,15,24,2,24,14,9,7.82
327,327,23,2,45590,1.0,18,1,2,0,0,0,7.97
328,328,24,1,81890,1.0,14,1,3,1,0,0,6.82
329,329,52,29,29420,8.0,11,9,1,5,1,4,6.07
330,330,50,8,49410,5.0,11,30,3,4,0,3,6.41
331,331,29,2,106500,1.0,13,1,2,1,0,0,10.7
332,332,33,3,59020,0.0,12,14,2,13,3,7,6.98
333,333,33,23,86390,5.0,16,6,3,3,0,2,7.99
334,334,47,6,63470,1.0,14,26,2,26,3,0,9.47
335,335,36,6,42000,0.0,22,10,3,9,0,5,7.72
336,336,29,10,34520,1.0,11,10,3,10,0,7,7.73
337,337,58,24,43170,7.0,17,40,2,31,13,8,8.9
338,338,35,10,26320,3.0,13,7,3,2,2,2,7.78
339,339,42,15,46680,9.0,18,8,2,4,0,2,10.47
340,340,28,19,32040,6.0,16,5,4,2,2,1,6.2
341,341,36,2,27200,4.0,14,8,3,5,0,4,6.62
342,342,32,3,171810,1.0,14,14,2,14,6,8,7.99
343,343,0,0,0,1.0,0,0,0,0,0,0,6.89
344,344,30,7,14830,5.0,13,12,3,0,0,0,9.38
345,345,45,10,56050,1.0,12,1,2,1,0,0,6.62
346,346,42,20,72950,1.0,15,10,3,9,7,8,7.58
347,347,38,4,23060,2.0,19,13,5,4,1,2,7.6
348,348,34,7,23480,1.0,14,6,3,5,1,3,6.87
349,349,49,7,89980,1.0,14,9,2,9,7,7,6.29
350,350,55,16,43190,4.0,11,12,3,9,7,3,6.38
351,351,43,25,61320,6.0,13,22,3,4,1,0,7.33
352,352,27,2,33460,1.0,21,9,2,9,0,8,10.49
353,353,35,1,108550,3.0,13,17,2,8,1,6,7.0
354,354,28,1,22310,1.0,12,8,3,8,7,5,9.91
355,355,34,2,23230,0.0,17,4,2,3,0,2,6.89
356,356,26,22,20240,1.0,23,8,2,8,1,7,8.0
357,357,27,1,27130,1.0,11,0,2,0,0,0,7.31
358,358,51,16,94390,2.0,15,29,0,20,4,17,6.12
359,359,44,24,25660,9.0,11,10,3,5,2,3,6.32
360,360,25,17,199260,7.0,11,6,5,4,0,1,6.42
361,361,33,8,24510,1.0,13,9,3,9,0,8,6.02
362,362,35,6,94190,1.0,24,6,5,6,1,1,6.9
363,363,36,10,86860,1.0,13,18,2,18,4,11,9.7
364,364,32,3,30380,2.0,20,8,3,5,0,3,7.79
365,365,30,4,30580,9.0,14,10,2,5,0,3,6.41
366,366,53,6,23250,7.0,18,35,1,5,0,4,10.39
367,367,45,1,20880,4.0,15,18,2,5,0,2,8.52
368,368,32,10,30720,5.0,12,9,4,5,1,3,6.59
369,369,52,1,50060,3.0,16,31,2,9,0,0,7.59
370,370,37,24,42570,4.0,15,9,2,1,0,0,6.1
371,371,28,21,25000,1.0,16,6,3,5,0,4,6.29
372,372,22,2,11020,6.0,19,4,3,2,2,2,6.48
373,373,44,22,104530,2.0,11,10,2,3,0,2,10.98
374,374,42,13,22880,5.0,16,8,4,2,2,2,8.01
375,375,36,14,39290,0.0,24,6,6,5,0,3,7.59
376,376,25,11,23110,1.0,11,5,2,5,0,3,10.41
377,377,35,9,31400,1.0,13,17,2,17,5,15,8.8
378,378,35,8,36900,1.0,13,10,2,10,7,8,10.0
379,379,32,21,44500,0.0,13,4,3,3,0,2,7.89
380,380,25,5,27560,1.0,12,5,2,5,0,3,7.8
381,381,49,9,190330,2.0,18,7,5,4,0,2,7.47
382,382,24,2,187220,0.0,22,6,3,5,3,4,7.56
383,383,32,12,95470,1.0,13,10,3,10,5,3,6.81
384,384,38,22,137340,0.0,13,3,3,2,1,2,6.99
385,385,42,18,199990,2.0,23,17,6,5,1,3,9.61
386,386,31,16,22790,3.0,12,8,3,6,0,2,10.1
387,387,29,3,59160,6.0,12,5,2,3,0,2,9.39
388,388,53,9,20890,5.0,16,28,2,2,2,2,6.37
389,389,35,1,167920,3.0,12,16,3,13,4,8,7.1
390,390,37,13,35640,5.0,11,10,1,5,0,0,7.41
391,391,53,1,44250,6.0,22,33,2,12,3,8,6.67
392,392,43,1,52650,4.0,11,12,4,5,2,2,7.58
393,393,47,15,65530,0.0,15,8,2,7,7,7,10.68
394,394,37,1,62610,1.0,12,10,1,10,0,9,8.31
395,395,50,17,42980,1.0,20,31,6,31,14,7,6.61
396,396,39,1,68040,8.0,14,13,3,5,0,4,6.88
397,397,33,7,38150,3.0,11,7,3,4,0,3,9.42
398,398,32,9,27410,1.0,15,1,5,1,0,1,10.02
399,399,29,5,66730,6.0,12,8,2,4,0,3,6.45
400,400,44,26,76390,1.0,14,8,6,8,7,1,9.77
401,401,28,24,23280,1.0,11,4,3,4,0,2,6.42
402,402,58,9,21530,9.0,11,3,3,1,0,0,10.5
403,403,43,7,48760,4.0,16,4,4,1,0,0,6.58
404,404,20,11,93960,1.0,12,2,6,2,0,2,7.11
405,405,21,1,104000,1.0,13,1,2,1,0,0,7.88
406,406,36,26,84740,0.0,14,17,3,16,4,11,10.3
407,407,47,2,99810,1.0,21,3,3,3,1,2,8.49
408,408,22,15,124900,0.0,13,4,3,3,0,2,9.8
409,409,41,23,26570,4.0,11,10,3,7,1,0,10.41
410,410,28,10,135910,5.0,20,6,2,2,2,2,7.68
411,411,39,10,66960,7.0,11,8,3,2,2,2,10.67
412,412,27,1,20580,1.0,14,1,5,1,0,0,7.68
413,413,34,12,88650,1.0,11,1,0,1,1,0,7.72
414,414,42,11,59400,7.0,16,10,2,5,0,3,6.88
415,415,33,2,59140,3.0,16,6,4,3,0,2,10.55
416,416,58,2,26220,2.0,23,24,3,6,0,4,8.32
417,417,31,1,121850,3.0,14,13,2,7,5,2,6.08
418,418,35,2,106090,1.0,22,10,3,10,0,7,10.38
419,419,49,25,43450,4.0,15,29,3,26,1,7,6.99
420,420,48,1,21770,4.0,18,13,4,0,0,0,6.7
421,421,31,1,27930,1.0,16,9,4,9,0,0,7.08
422,422,36,2,79180,2.0,12,8,3,6,0,1,6.5
423,423,38,6,87890,1.0,11,15,4,15,5,11,7.08
424,424,32,18,23890,6.0,12,5,4,3,0,2,7.08
425,425,25,1,32120,1.0,15,1,3,1,0,0,8.9
426,426,40,1,192320,2.0,14,11,3,1,0,0,6.07
427,427,26,11,22670,1.0,19,7,2,7,0,7,7.64
428,428,41,1,195170,2.0,13,20,5,18,2,17,10.71
429,429,36,9,24360,4.0,13,16,3,11,3,9,7.1
430,430,19,15,160640,1.0,15,1,3,1,0,0,10.62
431,431,20,29,27070,1.0,11,1,2,1,0,0,6.08
432,432,31,1,190680,0.0,12,10,1,9,8,5,8.33
433,433,40,1,39310,8.0,19,3,2,1,0,0,8.14
434,434,32,24,37300,1.0,25,8,4,8,6,3,7.89
435,435,36,10,22320,1.0,12,16,2,16,3,7,9.81
436,436,33,1,44650,0.0,13,6,3,5,1,4,6.02
437,437,37,10,30720,5.0,14,17,3,14,11,7,6.27
438,438,45,8,33190,1.0,12,9,3,9,0,8,6.31
439,439,29,29,192020,1.0,12,3,5,3,0,2,7.62
440,440,35,1,136750,1.0,15,5,5,5,1,0,6.37
441,441,52,5,29110,2.0,17,26,3,9,7,8,6.99
442,442,58,9,59570,4.0,14,7,2,1,0,0,7.48
443,443,53,9,39200,6.0,16,22,3,17,15,2,6.52
