"EmployeeID";"EnvironmentSatisfaction";"JobSatisfaction";"WorkLifeBalance";"Age";"BusinessTravel";"Department";"DistanceFromHome";"Education";"EducationField";"EmployeeCount";"Gender";"JobLevel";"JobRole";"MaritalStatus";"MonthlyIncome";"NumCompaniesWorked";"PercentSalaryHike";"StandardHours";"StockOptionLevel";"TotalWorkingYears";"TrainingTimesLastYear";"YearsAtCompany";"YearsSinceLastPromotion";"YearsWithCurrManager";"JobInvolvement";"PerformanceRating";"Attrition";"retirementDate";"retirementType";"resignationReason"
111;"3";"3";"3";40;"Travel_Rarely";"Research & Development";8;3;"Medical";1;"Female";1;"Healthcare Representative";"Married";86280;"2";20;8;0;8;2;6;1;0;2;"4";"Yes";"12/08/2016";"Resignation";"Stress"
113;"3";"2";"3";21;"Travel_Rarely";"Human Resources";10;2;"Human Resources";1;"Male";1;"Laboratory Technician";"Single";53730;"1";12;8;1;1;2;1;0;0;3;"3";"Yes";"14/10/2016";"Resignation";"Others"
121;"1";"4";"2";34;"Non-Travel";"Research & Development";7;3;"Life Sciences";1;"Male";1;"Sales Representative";"Single";56170;"8";25;8;1;9;3;5;0;4;3;"4";"Yes";"26/07/2016";"Fired";"NA"
125;"3";"NA";"3";26;"Travel_Frequently";"Sales";14;3;"Life Sciences";1;"Male";2;"Manager";"Single";75100;"0";18;8;3;7;3;6;0;4;3;"3";"Yes";"02/05/2016";"Resignation";"Stress"
128;"3";"4";"3";30;"Travel_Frequently";"Sales";3;2;"Marketing";1;"Male";3;"Research Scientist";"Single";11290;"9";19;8;0;3;2;1;0;0;2;"3";"Yes";"29/07/2016";"Resignation";"Others"
148;"1";"1";"3";25;"Travel_Rarely";"Research & Development";5;2;"Life Sciences";1;"Female";3;"Laboratory Technician";"Married";26600;"5";13;8;0;6;3;2;0;2;3;"3";"Yes";"10/01/2016";"Resignation";"Salary"
157;"1";"2";"3";24;"Travel_Rarely";"Research & Development";27;2;"Medical";1;"Male";1;"Research Scientist";"Single";104220;"1";17;8;1;6;0;5;1;4;2;"3";"Yes";"29/02/2016";"Resignation";"Others"
158;"4";"3";"2";34;"Travel_Frequently";"Research & Development";5;3;"Medical";1;"Male";2;"Research Scientist";"Divorced";137440;"0";20;8;1;3;3;2;1;0;3;"4";"Yes";"25/03/2016";"Resignation";"Others"
164;"3";"2";"4";29;"Travel_Rarely";"Research & Development";19;4;"Life Sciences";1;"Male";3;"Research Scientist";"Married";17900;"5";16;8;1;6;4;2;1;1;2;"3";"Yes";"30/06/2016";"Resignation";"Others"
165;"1";"4";"4";19;"Travel_Rarely";"Research & Development";4;3;"Medical";1;"Male";1;"Sales Executive";"Single";76440;"1";15;8;2;1;2;1;0;0;3;"3";"Yes";"16/11/2016";"Fired";"NA"
178;"2";"3";"4";33;"Travel_Rarely";"Research & Development";10;3;"Life Sciences";1;"Female";4;"Research Director";"Married";67280;"7";22;8;0;15;2;7;7;7;2;"4";"Yes";"13/02/2016";"Resignation";"Others"
179;"1";"4";"3";33;"Travel_Rarely";"Sales";5;4;"Marketing";1;"Male";2;"Research Director";"Divorced";66520;"7";25;8;0;8;5;4;1;3;3;"4";"Yes";"05/07/2016";"Resignation";"Salary"
182;"1";"3";"3";31;"Travel_Frequently";"Research & Development";22;2;"Medical";1;"Female";2;"Sales Executive";"Married";56890;"3";15;8;2;12;2;1;0;0;2;"3";"Yes";"22/02/2016";"Resignation";"Others"
183;"2";"1";"3";34;"Travel_Frequently";"Sales";17;1;"Marketing";1;"Male";1;"Research Director";"Divorced";20010;"9";22;8;1;11;5;3;0;2;4;"4";"Yes";"03/01/2016";"Fired";"NA"
186;"3";"3";"3";22;"Travel_Frequently";"Research & Development";7;3;"Medical";1;"Female";2;"Laboratory Technician";"Single";37850;"5";13;8;2;4;2;2;1;2;3;"3";"Yes";"05/03/2016";"Resignation";"Stress"
196;"NA";"3";"2";26;"Travel_Frequently";"Research & Development";2;1;"Life Sciences";1;"Female";2;"Laboratory Technician";"Divorced";59930;"0";12;8;0;8;3;7;1;0;3;"3";"Yes";"04/09/2016";"Resignation";"Salary"
200;"2";"2";"3";18;"Travel_Frequently";"Research & Development";2;3;"Technical Degree";1;"Male";1;"Sales Executive";"Single";34680;"1";18;8;2;0;4;0;0;0;4;"3";"Yes";"25/01/2016";"Resignation";"Salary"
206;"3";"4";"1";26;"Travel_Rarely";"Sales";1;3;"Marketing";1;"Female";2;"Manufacturing Director";"Single";24260;"1";22;8;0;1;3;1;0;0;1;"4";"Yes";"10/01/2016";"Resignation";"Salary"
212;"4";"3";"3";32;"Non-Travel";"Research & Development";7;2;"Life Sciences";1;"Female";2;"Research Director";"Married";32980;"8";22;8;0;6;4;4;1;2;2;"4";"Yes";"01/06/2016";"Resignation";"Salary"
222;"1";"3";"3";24;"Travel_Frequently";"Research & Development";2;3;"Medical";1;"Male";2;"Research Scientist";"Married";39190;"1";21;8;0;6;3;6;1;2;3;"4";"Yes";"22/06/2016";"Fired";"NA"
223;"2";"1";"4";30;"Travel_Frequently";"Research & Development";9;3;"Other";1;"Male";2;"Healthcare Representative";"Married";68250;"1";14;8;0;1;2;1;0;0;3;"3";"Yes";"28/10/2016";"Fired";"NA"
225;"2";"1";"1";31;"Travel_Rarely";"Research & Development";9;1;"Medical";1;"Female";1;"Sales Representative";"Divorced";189470;"2";12;8;2;9;2;3;1;2;2;"3";"Yes";"23/06/2016";"Resignation";"Salary"
238;"3";"1";"3";27;"Travel_Rarely";"Sales";27;3;"Life Sciences";1;"Male";2;"Research Scientist";"Divorced";22930;"0";18;8;0;5;0;4;0;2;3;"3";"Yes";"30/05/2016";"Resignation";"Others"
247;"1";"1";"3";45;"Travel_Frequently";"Research & Development";19;4;"Life Sciences";1;"Male";3;"Research Director";"Married";34410;"2";13;8;1;5;5;1;0;0;3;"3";"Yes";"14/07/2016";"Resignation";"Others"
256;"4";"3";"3";20;"Travel_Rarely";"Research & Development";1;3;"Life Sciences";1;"Male";5;"Sales Representative";"Single";61620;"1";12;8;3;1;2;1;1;1;2;"3";"Yes";"17/08/2016";"Resignation";"Salary"
257;"1";"1";"3";33;"Travel_Frequently";"Research & Development";15;4;"Medical";1;"Female";1;"Laboratory Technician";"Single";24060;"1";11;8;0;10;3;10;9;7;3;"3";"Yes";"28/01/2016";"Resignation";"Others"
268;"1";"3";"3";24;"Travel_Rarely";"Research & Development";17;2;"Life Sciences";1;"Female";1;"Healthcare Representative";"Single";25010;"9";12;8;0;4;3;2;2;0;1;"3";"Yes";"19/01/2016";"Resignation";"Others"
271;"2";"3";"3";50;"Travel_Frequently";"Research & Development";4;2;"Medical";1;"Male";4;"Sales Representative";"Married";44240;"3";14;8;1;18;2;4;1;3;2;"3";"Yes";"06/04/2016";"Resignation";"Others"
283;"1";"2";"3";28;"Travel_Rarely";"Sales";2;4;"Life Sciences";1;"Male";3;"Research Scientist";"Single";20750;"7";18;8;3;10;0;7;3;7;2;"3";"Yes";"06/03/2016";"Resignation";"Salary"
290;"3";"3";"3";42;"Travel_Frequently";"Research & Development";10;1;"Life Sciences";1;"Female";1;"Sales Executive";"Divorced";50100;"6";21;8;3;7;3;2;2;2;3;"4";"Yes";"08/12/2016";"Resignation";"Others"
305;"4";"4";"2";33;"Travel_Rarely";"Research & Development";1;2;"Medical";1;"Male";3;"Laboratory Technician";"Single";28710;"1";17;8;3;10;2;10;7;8;3;"3";"Yes";"01/09/2016";"Fired";"NA"
311;"4";"1";"3";55;"Travel_Rarely";"Human Resources";7;3;"Human Resources";1;"Male";4;"Laboratory Technician";"Married";74280;"5";12;8;0;24;2;5;1;4;3;"3";"Yes";"09/06/2016";"Resignation";"Salary"
316;"4";"1";"2";26;"Travel_Rarely";"Research & Development";15;2;"Life Sciences";1;"Male";2;"Laboratory Technician";"Single";26130;"6";19;8;1;6;2;4;1;2;3;"3";"Yes";"30/09/2016";"Resignation";"Others"
328;"3";"1";"3";23;"Travel_Rarely";"Sales";2;3;"Medical";1;"Female";4;"Manufacturing Director";"Married";45590;"1";18;8;1;1;2;0;0;0;2;"3";"Yes";"17/01/2016";"Resignation";"Stress"
332;"2";"1";"3";29;"Travel_Rarely";"Sales";2;4;"Marketing";1;"Female";4;"Research Scientist";"Married";106500;"1";13;8;2;1;2;1;0;0;4;"3";"Yes";"26/08/2016";"Resignation";"Salary"
334;"1";"1";"3";33;"Travel_Rarely";"Research & Development";23;5;"Life Sciences";1;"Male";1;"Human Resources";"Single";86390;"5";16;8;2;6;3;3;0;2;2;"3";"Yes";"13/03/2016";"Resignation";"Others"
338;"4";"2";"3";58;"Travel_Rarely";"Research & Development";24;3;"Other";1;"Female";2;"Research Scientist";"Single";43170;"7";17;8;0;40;2;31;13;8;3;"3";"Yes";"19/06/2016";"Resignation";"Stress"
341;"3";"3";"2";28;"Travel_Rarely";"Research & Development";19;4;"Medical";1;"Female";2;"Sales Executive";"Single";32040;"6";16;8;1;5;4;2;2;1;2;"3";"Yes";"18/05/2016";"Resignation";"Salary"
350;"3";"4";"4";49;"Travel_Rarely";"Sales";7;2;"Life Sciences";1;"Female";2;"Healthcare Representative";"Married";89980;"1";14;8;2;9;2;9;7;7;4;"3";"Yes";"09/03/2016";"Resignation";"Others"
351;"3";"4";"2";55;"Travel_Rarely";"Human Resources";16;3;"Technical Degree";1;"Male";4;"Manufacturing Director";"Single";43190;"4";11;8;0;12;3;9;7;3;4;"3";"Yes";"24/08/2016";"Resignation";"Others"
357;"3";"3";"3";26;"Travel_Frequently";"Research & Development";22;4;"Other";1;"Female";1;"Sales Executive";"Married";20240;"1";23;8;0;8;2;8;1;7;3;"4";"Yes";"04/09/2016";"Resignation";"Salary"
379;"4";"2";"2";35;"Travel_Frequently";"Sales";8;2;"Marketing";1;"Female";1;"Laboratory Technician";"Divorced";36900;"1";13;8;1;10;2;10;7;8;4;"3";"Yes";"11/06/2016";"Fired";"NA"
388;"2";"3";"3";29;"Travel_Rarely";"Sales";3;3;"Marketing";1;"Male";3;"Laboratory Technician";"Divorced";59160;"6";12;8;0;5;2;3;0;2;3;"3";"Yes";"19/02/2016";"Resignation";"Others"
399;"1";"4";"1";32;"Travel_Rarely";"Research & Development";9;1;"Medical";1;"Female";1;"Laboratory Technician";"Single";27410;"1";15;8;1;1;5;1;0;1;2;"3";"Yes";"22/04/2016";"Fired";"NA"
403;"4";"4";"2";58;"Travel_Frequently";"Sales";9;2;"Technical Degree";1;"Male";1;"Sales Executive";"Divorced";21530;"9";11;8;0;3;3;1;0;0;3;"3";"Yes";"11/08/2016";"Resignation";"Salary"
405;"3";"3";"2";20;"Travel_Rarely";"Research & Development";11;3;"Medical";1;"Male";2;"Sales Executive";"Single";93960;"1";12;8;0;2;6;2;0;2;1;"3";"Yes";"25/03/2016";"Resignation";"Others"
406;"NA";"4";"2";21;"Travel_Rarely";"Research & Development";1;3;"Medical";1;"Male";2;"Sales Executive";"Single";104000;"1";13;8;1;1;2;1;0;0;3;"3";"Yes";"02/09/2016";"Resignation";"Others"
409;"2";"3";"4";22;"Travel_Rarely";"Research & Development";15;4;"Life Sciences";1;"Female";1;"Laboratory Technician";"Married";124900;"0";13;8;0;4;3;3;0;2;3;"3";"Yes";"01/04/2016";"Resignation";"Others"
410;"2";"4";"2";41;"Travel_Rarely";"Research & Development";23;3;"Life Sciences";1;"Female";2;"Sales Executive";"Divorced";26570;"4";11;8;0;10;3;7;1;0;4;"3";"Yes";"26/05/2016";"Resignation";"Others"
412;"4";"1";"1";39;"Travel_Rarely";"Research & Development";10;4;"Life Sciences";1;"Female";4;"Human Resources";"Married";66960;"7";11;8;0;8;3;2;2;2;3;"3";"Yes";"21/07/2016";"Resignation";"Others"
426;"3";"2";"3";25;"Travel_Rarely";"Research & Development";1;2;"Life Sciences";1;"Male";1;"Sales Executive";"Married";32120;"1";15;8;1;1;3;1;0;0;2;"3";"Yes";"26/11/2016";"Resignation";"Others"
431;"4";"2";"4";19;"Travel_Rarely";"Research & Development";15;3;"Life Sciences";1;"Male";2;"Research Scientist";"Single";160640;"1";15;8;1;1;3;1;0;0;3;"3";"Yes";"12/08/2016";"Resignation";"Others"
432;"1";"1";"3";20;"Travel_Rarely";"Research & Development";29;3;"Life Sciences";1;"Female";3;"Laboratory Technician";"Single";27070;"1";11;8;0;1;2;1;0;0;3;"3";"Yes";"02/06/2016";"Resignation";"Salary"
436;"3";"4";"3";36;"Travel_Rarely";"Research & Development";10;3;"Medical";1;"Male";3;"Sales Executive";"Married";22320;"1";12;8;1;16;2;16;3;7;3;"3";"Yes";"26/06/2016";"Fired";"NA"
438;"1";"3";"1";37;"Travel_Rarely";"Sales";10;4;"Marketing";1;"Female";3;"Human Resources";"Married";30720;"5";14;8;0;17;3;14;11;7;2;"3";"Yes";"25/05/2016";"Resignation";"Others"
443;"4";"3";"3";58;"Travel_Rarely";"Sales";9;2;"Medical";1;"Female";4;"Sales Executive";"Single";59570;"4";14;8;1;7;2;1;0;0;1;"3";"Yes";"12/12/2016";"Resignation";"Salary"
449;"2";"2";"2";40;"Non-Travel";"Research & Development";2;4;"Life Sciences";1;"Male";1;"Human Resources";"Single";65450;"4";15;8;0;22;2;1;0;0;3;"3";"Yes";"22/10/2016";"Resignation";"Others"
452;"3";"1";"3";31;"Non-Travel";"Research & Development";28;4;"Medical";1;"Male";2;"Research Scientist";"Single";25930;"0";21;8;0;4;2;3;1;2;3;"4";"Yes";"06/11/2016";"Resignation";"Others"
454;"4";"1";"3";29;"Travel_Rarely";"Human Resources";3;5;"Life Sciences";1;"Male";1;"Sales Executive";"Single";27230;"6";11;8;1;3;2;0;0;0;2;"3";"Yes";"10/09/2016";"Resignation";"Others"
463;"1";"3";"3";30;"Travel_Rarely";"Sales";2;3;"Life Sciences";1;"Male";2;"Healthcare Representative";"Married";40000;"4";12;8;0;7;5;5;0;1;2;"3";"Yes";"19/02/2016";"Resignation";"Stress"
468;"3";"2";"1";35;"Travel_Rarely";"Sales";24;3;"Medical";1;"Male";3;"Healthcare Representative";"Divorced";20700;"1";13;8;3;5;1;4;0;2;2;"3";"Yes";"01/05/2016";"Resignation";"Stress"
474;"4";"1";"3";20;"Travel_Rarely";"Research & Development";2;2;"Life Sciences";1;"Female";2;"Research Scientist";"Single";63970;"1";17;8;1;1;3;1;0;0;3;"3";"Yes";"14/11/2016";"Fired";"NA"
475;"2";"2";"3";30;"Travel_Frequently";"Research & Development";8;4;"Medical";1;"Male";1;"Sales Executive";"Single";191440;"0";11;8;0;4;3;3;1;2;3;"3";"Yes";"13/12/2016";"Resignation";"Others"
487;"1";"2";"1";37;"Travel_Rarely";"Sales";15;3;"Marketing";1;"Male";2;"Laboratory Technician";"Married";44850;"5";11;8;1;15;2;1;0;0;4;"3";"Yes";"21/09/2016";"Resignation";"Others"
491;"2";"1";"3";26;"Non-Travel";"Research & Development";21;1;"Life Sciences";1;"Female";1;"Manufacturing Director";"Single";135250;"8";17;8;1;7;4;2;2;2;2;"3";"Yes";"27/11/2016";"Resignation";"Others"
492;"1";"4";"3";52;"Travel_Rarely";"Research & Development";5;4;"Medical";1;"Female";4;"Human Resources";"Married";14200;"1";13;8;1;33;2;32;6;9;4;"3";"Yes";"18/10/2016";"Resignation";"Others"
495;"3";"1";"3";36;"Travel_Rarely";"Sales";2;4;"Technical Degree";1;"Male";4;"Sales Executive";"Single";54820;"1";18;8;0;18;3;17;15;14;3;"3";"Yes";"10/05/2016";"Resignation";"Others"
504;"1";"3";"2";36;"Travel_Rarely";"Research & Development";7;2;"Life Sciences";1;"Female";1;"Research Scientist";"Divorced";56600;"7";12;8;0;9;3;1;0;0;3;"3";"Yes";"10/02/2016";"Resignation";"Stress"
505;"1";"1";"3";26;"Travel_Frequently";"Sales";2;3;"Life Sciences";1;"Male";2;"Research Scientist";"Married";48210;"6";14;8;2;6;2;3;1;2;3;"3";"Yes";"01/07/2016";"Resignation";"Salary"
519;"4";"4";"3";20;"Travel_Frequently";"Sales";8;3;"Marketing";1;"Male";3;"Sales Executive";"Single";34640;"1";20;8;0;2;3;2;0;2;2;"4";"Yes";"02/05/2016";"Resignation";"Others"
520;"3";"1";"2";21;"Travel_Rarely";"Research & Development";1;4;"Life Sciences";1;"Male";1;"Manager";"Single";57750;"1";18;8;0;1;2;1;1;0;3;"3";"Yes";"26/02/2016";"Resignation";"Salary"
522;"1";"3";"4";51;"Travel_Rarely";"Sales";23;3;"Medical";1;"Female";2;"Research Scientist";"Married";192720;"9";20;8;0;18;2;10;2;7;3;"4";"Yes";"22/10/2016";"Resignation";"Others"
523;"2";"1";"2";28;"Non-Travel";"Research & Development";19;4;"Life Sciences";1;"Female";4;"Laboratory Technician";"Single";52380;"1";17;8;1;10;4;10;1;9;2;"3";"Yes";"03/11/2016";"Fired";"NA"
532;"2";"1";"3";44;"Travel_Rarely";"Research & Development";18;4;"Life Sciences";1;"Female";2;"Sales Executive";"Married";21190;"9";15;8;0;24;3;20;3;6;3;"3";"Yes";"21/07/2016";"Resignation";"Others"
534;"4";"1";"3";35;"Travel_Rarely";"Sales";7;4;"Life Sciences";1;"Male";3;"Sales Representative";"Single";61180;"0";21;8;1;9;3;8;4;7;2;"4";"Yes";"06/03/2016";"Resignation";"Others"
535;"1";"3";"3";33;"Travel_Frequently";"Research & Development";1;2;"Life Sciences";1;"Female";1;"Sales Executive";"Single";62140;"1";19;8;2;14;3;13;3;8;3;"3";"Yes";"02/12/2016";"Resignation";"Salary"
539;"4";"4";"4";25;"Travel_Rarely";"Human Resources";25;4;"Human Resources";1;"Female";2;"Research Scientist";"Married";82680;"1";12;8;0;7;3;7;5;6;2;"3";"Yes";"08/01/2016";"Resignation";"Stress"
540;"1";"3";"2";26;"Travel_Rarely";"Sales";8;2;"Marketing";1;"Male";2;"Sales Executive";"Divorced";80950;"1";15;8;0;1;3;1;0;0;4;"3";"Yes";"04/01/2016";"Resignation";"Others"
541;"1";"2";"3";33;"Travel_Rarely";"Research & Development";8;2;"Life Sciences";1;"Male";4;"Manufacturing Director";"Single";29040;"4";13;8;0;5;2;2;2;2;3;"3";"Yes";"18/04/2016";"Resignation";"Others"
543;"1";"2";"3";28;"Travel_Frequently";"Research & Development";7;3;"Life Sciences";1;"Male";2;"Manager";"Divorced";29760;"1";14;8;0;1;3;1;0;0;3;"3";"Yes";"24/01/2016";"Resignation";"Salary"
544;"4";"3";"3";50;"Travel_Frequently";"Research & Development";1;4;"Medical";1;"Male";2;"Research Scientist";"Single";159920;"3";14;8;0;5;3;0;0;0;3;"3";"Yes";"31/07/2016";"Resignation";"Others"
556;"1";"4";"3";39;"Travel_Frequently";"Sales";1;3;"Marketing";1;"Male";2;"Healthcare Representative";"Divorced";67550;"7";14;8;1;21;2;18;11;5;3;"3";"Yes";"27/05/2016";"Resignation";"Others"
571;"3";"3";"3";18;"Non-Travel";"Research & Development";2;4;"Medical";1;"Male";3;"Laboratory Technician";"Single";109650;"1";18;8;0;0;5;0;0;0;4;"3";"Yes";"06/04/2016";"Resignation";"Others"
572;"1";"1";"3";33;"Travel_Rarely";"Research & Development";3;2;"Life Sciences";1;"Male";1;"Sales Executive";"Single";49360;"0";14;8;0;6;2;5;0;3;2;"3";"Yes";"27/04/2016";"Resignation";"Others"
574;"3";"3";"2";31;"Travel_Frequently";"Sales";10;3;"Technical Degree";1;"Female";1;"Research Director";"Married";53040;"1";17;8;0;2;3;2;2;2;4;"3";"Yes";"23/08/2016";"Resignation";"Others"
579;"4";"1";"1";29;"Travel_Rarely";"Research & Development";6;3;"Life Sciences";1;"Male";1;"Sales Executive";"Married";22440;"1";12;8;3;11;5;11;3;10;1;"3";"Yes";"06/03/2016";"Resignation";"Salary"
581;"3";"1";"2";42;"Travel_Frequently";"Sales";2;4;"Life Sciences";1;"Male";1;"Laboratory Technician";"Single";22850;"0";16;8;0;22;3;21;13;14;1;"3";"Yes";"19/09/2016";"Resignation";"Salary"
585;"3";"4";"2";28;"Travel_Rarely";"Research & Development";15;4;"Life Sciences";1;"Male";2;"Sales Executive";"Married";41970;"1";13;8;0;1;3;1;0;0;1;"3";"Yes";"24/01/2016";"Resignation";"Salary"
592;"1";"3";"2";43;"Travel_Rarely";"Sales";5;3;"Marketing";1;"Female";3;"Research Scientist";"Single";45220;"8";15;8;1;7;3;4;1;3;3;"3";"Yes";"29/01/2016";"Resignation";"Others"
600;"3";"3";"3";44;"Travel_Rarely";"Human Resources";6;2;"Human Resources";1;"Male";3;"Sales Executive";"Single";45580;"1";13;8;1;6;2;6;0;2;1;"3";"Yes";"16/09/2016";"Resignation";"Others"
603;"3";"4";"3";22;"Travel_Frequently";"Research & Development";22;4;"Medical";1;"Male";1;"Sales Representative";"Married";26540;"0";24;8;0;1;5;0;0;0;2;"4";"Yes";"12/03/2016";"Resignation";"Stress"
607;"1";"1";"1";41;"Non-Travel";"Research & Development";12;3;"Life Sciences";1;"Male";2;"Sales Representative";"Divorced";195660;"6";16;8;0;5;2;1;0;0;4;"3";"Yes";"06/04/2016";"Resignation";"Salary"
614;"4";"2";"1";24;"Travel_Rarely";"Human Resources";28;4;"Human Resources";1;"Male";3;"Manufacturing Director";"Married";28860;"1";19;8;1;1;5;1;0;0;3;"3";"Yes";"21/04/2016";"Resignation";"Stress"
635;"1";"2";"4";19;"Non-Travel";"Sales";2;2;"Other";1;"Male";3;"Healthcare Representative";"Single";98240;"1";18;8;0;1;2;1;0;0;3;"3";"Yes";"20/05/2016";"Fired";"NA"
654;"3";"4";"3";25;"Travel_Frequently";"Research & Development";1;1;"Life Sciences";1;"Male";1;"Manufacturing Director";"Single";109320;"1";11;8;1;1;3;1;1;0;3;"3";"Yes";"19/01/2016";"Resignation";"Stress"
656;"1";"2";"3";45;"Travel_Rarely";"Human Resources";12;3;"Human Resources";1;"Male";2;"Laboratory Technician";"Single";43060;"2";11;8;2;26;3;24;1;11;3;"3";"Yes";"26/07/2016";"Resignation";"Salary"
658;"1";"3";"1";21;"Travel_Frequently";"Research & Development";20;2;"Medical";1;"Female";4;"Research Scientist";"Single";53370;"1";14;8;1;2;2;2;2;2;3;"3";"Yes";"04/09/2016";"Resignation";"Others"
671;"1";"4";"3";44;"Travel_Rarely";"Research & Development";21;4;"Life Sciences";1;"Female";2;"Laboratory Technician";"Married";62720;"1";19;8;1;10;3;10;0;5;3;"3";"Yes";"18/02/2016";"Resignation";"Others"
675;"2";"3";"3";29;"Travel_Rarely";"Research & Development";29;4;"Technical Degree";1;"Female";1;"Sales Representative";"Divorced";28860;"3";13;8;0;10;4;7;7;7;3;"3";"Yes";"23/07/2016";"Resignation";"Salary"
682;"4";"3";"3";32;"Travel_Rarely";"Research & Development";5;3;"Technical Degree";1;"Female";1;"Sales Executive";"Married";96020;"1";13;8;1;10;3;10;1;1;3;"3";"Yes";"18/03/2016";"Resignation";"Stress"
683;"3";"1";"3";39;"Travel_Rarely";"Research & Development";18;2;"Life Sciences";1;"Male";2;"Laboratory Technician";"Single";28360;"0";20;8;0;6;3;5;0;3;2;"4";"Yes";"25/06/2016";"Fired";"NA"
689;"4";"2";"3";40;"Travel_Rarely";"Sales";8;1;"Other";1;"Male";1;"Laboratory Technician";"Single";59850;"2";13;8;3;9;1;5;1;0;2;"3";"Yes";"10/08/2016";"Resignation";"Salary"
690;"2";"2";"2";52;"Travel_Rarely";"Research & Development";3;2;"Technical Degree";1;"Male";3;"Laboratory Technician";"Single";25790;"9";19;8;1;10;1;8;7;7;3;"3";"Yes";"22/02/2016";"Resignation";"Salary"
695;"4";"2";"4";31;"Travel_Frequently";"Research & Development";3;1;"Life Sciences";1;"Male";1;"Sales Executive";"Single";71040;"1";14;8;1;3;3;3;2;2;3;"3";"Yes";"26/03/2016";"Resignation";"Salary"
696;"1";"1";"4";44;"Travel_Rarely";"Sales";5;3;"Life Sciences";1;"Male";1;"Laboratory Technician";"Married";63220;"4";11;8;1;10;2;3;1;2;3;"3";"Yes";"21/03/2016";"Fired";"NA"
709;"3";"1";"2";58;"Travel_Rarely";"Sales";1;4;"Technical Degree";1;"Male";2;"Sales Executive";"Married";10090;"7";13;8;2;31;3;10;5;9;4;"3";"Yes";"31/01/2016";"Resignation";"Others"
